#Selection name: Selection 1
#Area (µm^2): 4332272.37
Cell ID,Cluster,Transcripts,Area (µm^2)
hjgimbmm-1,Cluster 12,0,56.75
hjfkbpim-1,Cluster 11,0,16.28
hjgimpfo-1,Cluster 6,0,20.23
hjhlblee-1,Cluster 6,0,60.57
hjfjghpk-1,Cluster 5,0,63.42
bahojibl-1,Cluster 6,0,43.61
hjfobfgd-1,Cluster 6,0,29.60
bahplbed-1,Cluster 6,0,26.21
hjfolpaa-1,Cluster 8,0,9.32
hjfoigic-1,Cluster 11,0,48.56
hjfodbhj-1,Cluster 6,0,54.82
hjfkonbj-1,Cluster 10,0,67.37
baidfhdp-1,Cluster 12,0,33.87
hjfmkmom-1,Cluster 6,0,25.74
hjfnflhn-1,Cluster 6,0,45.74
hjfjnnjh-1,Cluster 6,0,32.37
hjfjlmcj-1,Cluster 6,0,39.29
hjfbjide-1,Cluster 12,0,24.62
hjfegkmg-1,Cluster 6,0,60.73
hjfbeglp-1,Cluster 12,0,43.57
hjfcamgl-1,Cluster 10,0,45.52
baidnpbj-1,Cluster 6,0,43.42
hjfbppkf-1,Cluster 12,0,20.77
hjepebcd-1,Cluster 10,0,17.90
hjfapmaj-1,Cluster 5,0,95.52
hjfaopgp-1,Cluster 12,0,8.23
hjfaplci-1,Cluster 10,0,103.39
hjfbgnkn-1,Cluster 3,0,39.81
hjfkhdna-1,Cluster 12,0,53.64
hjfejagi-1,Cluster 10,0,65.57
befkbnld-1,Cluster 6,0,53.89
hjfeighi-1,Cluster 5,0,31.63
hjfboddm-1,Cluster 10,0,25.66
hjepecmk-1,Cluster 3,0,35.02
hjfedgfi-1,Cluster 10,0,18.92
hjfeilll-1,Cluster 12,0,67.95
baidmiah-1,Cluster 6,0,44.77
hjfcdhgk-1,Cluster 11,0,29.17
baiefbck-1,Cluster 12,0,31.50
hjfcnjcd-1,Cluster 6,0,43.14
baielfbo-1,Cluster 6,0,40.13
hjfecdkk-1,Cluster 6,0,58.60
hjfcpcca-1,Cluster 12,0,11.47
hjfcnlom-1,Cluster 12,0,12.79
hjfmlpig-1,Cluster 6,0,11.94
hjfdhlpc-1,Cluster 6,0,37.01
hjfnbobc-1,Cluster 12,0,12.35
baicngjo-1,Cluster 6,0,37.27
hjennkpj-1,Cluster 6,0,26.00
befjigee-1,Cluster 6,0,54.17
hjfdgddf-1,Cluster 5,0,18.30
hjfclmnm-1,Cluster 5,0,18.11
baieihff-1,Cluster 6,0,43.74
hjfdhfhf-1,Cluster 12,0,24.07
hjfdaapo-1,Cluster 5,0,15.95
befppigp-1,Cluster 11,0,46.75
baiedobb-1,Cluster 11,0,69.92
hjfodegb-1,Cluster 10,0,33.49
hjfpdpjo-1,Cluster 12,0,16.50
hjfoanjn-1,Cluster 11,0,59.84
hjfoobal-1,Cluster 6,0,33.53
hjfplapj-1,Cluster 12,0,25.72
bahgkocd-1,Cluster 6,0,39.71
hjfocfni-1,Cluster 6,0,41.66
hjfpcehl-1,Cluster 8,0,5.13
hjfpllpm-1,Cluster 12,0,25.54
bahhgnmk-1,Cluster 6,0,44.74
hjgjghbe-1,Cluster 12,0,23.93
bahhgema-1,Cluster 6,0,23.91
bahheboj-1,Cluster 6,0,44.42
hjfpjepo-1,Cluster 6,0,26.69
hjfolijf-1,Cluster 10,0,33.79
baielglc-1,Cluster 6,0,39.40
hjfnnkag-1,Cluster 12,0,12.18
hjfpdmjn-1,Cluster 12,0,14.69
hjfngldl-1,Cluster 5,0,61.61
hjfoamfg-1,Cluster 6,0,24.08
hjfnnokm-1,Cluster 6,0,30.56
bahhkeoo-1,Cluster 6,0,64.82
hjgbjmko-1,Cluster 6,0,17.25
bahgfbnf-1,Cluster 6,0,38.02
bahibgoj-1,Cluster 6,0,51.96
bahgkjpg-1,Cluster 6,0,44.82
hjfppfnl-1,Cluster 6,0,25.06
bahjcojk-1,Cluster 6,0,38.16
bahdjina-1,Cluster 6,0,31.31
hjgifghh-1,Cluster 3,0,41.49
bahgekod-1,Cluster 6,0,45.06
bahijkjk-1,Cluster 6,0,48.89
hjfgjhhg-1,Cluster 11,0,60.29
hjfgleeh-1,Cluster 6,0,42.62
hjfpeokg-1,Cluster 6,0,47.54
bahgffno-1,Cluster 6,0,35.55
bahgjnpb-1,Cluster 6,0,28.56
bahgjldg-1,Cluster 6,0,29.16
hjgbfhpl-1,Cluster 5,0,73.13
bahfjgei-1,Cluster 6,0,35.46
bahigphn-1,Cluster 6,0,31.55
hjgemnni-1,Cluster 12,0,27.73
hjgeffkg-1,Cluster 6,0,36.95
baiendbe-1,Cluster 6,0,48.02
hjgekehh-1,Cluster 6,0,31.38
ofcagfeo-1,Cluster 8,0,15.66
hjffblob-1,Cluster 10,0,20.86
hjgelldh-1,Cluster 6,0,24.40
hjfdjkcm-1,Cluster 11,0,9.77
hjfebffa-1,Cluster 12,0,79.47
baienpbe-1,Cluster 6,0,40.11
hjfnjcfm-1,Cluster 6,0,18.50
hjgeopln-1,Cluster 12,0,15.58
hjenomfa-1,Cluster 10,0,40.45
begbnjfk-1,Cluster 6,0,57.70
hjgdmcbf-1,Cluster 6,0,57.23
hjfclgjb-1,Cluster 6,0,35.42
ofbpohee-1,Cluster 8,0,3.86
hjgdlfko-1,Cluster 6,0,50.20
hjfcfdll-1,Cluster 12,0,9.02
ofcagdcn-1,Cluster 11,0,6.82
baienbmf-1,Cluster 12,0,37.05
baicjdik-1,Cluster 6,0,50.47
hjggdnni-1,Cluster 6,0,59.01
hjgfomhb-1,Cluster 6,0,29.17
baicjakp-1,Cluster 6,0,36.56
hjggdcaa-1,Cluster 12,0,52.37
hjgfhkbl-1,Cluster 12,0,28.26
hjgfcmoi-1,Cluster 12,0,14.61
hjgfhefc-1,Cluster 6,0,48.49
hjgfmgnl-1,Cluster 12,0,35.66
hjgfkifm-1,Cluster 12,0,20.10
befnheci-1,Cluster 6,0,42.11
befnhend-1,Cluster 6,0,32.78
befnnahj-1,Cluster 11,0,59.16
befomkfh-1,Cluster 6,0,44.57
befngkdn-1,Cluster 6,0,25.28
hjgcaice-1,Cluster 6,0,25.43
baicghod-1,Cluster 11,0,47.87
hjgepdaf-1,Cluster 6,0,50.92
hjggaked-1,Cluster 6,0,30.05
hjgialjj-1,Cluster 16,0,76.38
hjgoheea-1,Cluster 5,0,24.52
hjjophoj-1,Cluster 11,0,39.28
hjkbkipk-1,Cluster 3,0,57.97
hjjpofam-1,Cluster 5,0,37.00
hjkbbhoc-1,Cluster 3,0,38.34
hjjplihh-1,Cluster 6,0,13.12
hjkkoplo-1,Cluster 6,0,32.00
baijlnkp-1,Cluster 6,0,42.27
hjkakbph-1,Cluster 3,0,41.28
hjkmkdic-1,Cluster 5,0,30.97
hjjpkmjc-1,Cluster 12,0,32.82
hjkmebco-1,Cluster 12,0,34.81
hjkmjomk-1,Cluster 5,0,36.33
baifaccf-1,Cluster 6,0,54.49
hjjjooad-1,Cluster 12,0,8.99
baifgkjk-1,Cluster 6,0,26.23
hjjifiio-1,Cluster 6,0,15.26
hjjineop-1,Cluster 3,0,26.37
hjjjaiin-1,Cluster 6,0,31.31
hjjpnoif-1,Cluster 6,0,29.51
baifikka-1,Cluster 6,0,36.67
hjjiogon-1,Cluster 6,0,34.36
hjjnbpcj-1,Cluster 6,0,22.31
hjkbkljb-1,Cluster 10,0,71.03
hjjmhleh-1,Cluster 5,0,18.76
hjjenncp-1,Cluster 5,0,23.52
bafcgghf-1,Cluster 6,0,48.94
hjjfbcff-1,Cluster 6,0,55.31
hjkkgcmo-1,Cluster 12,0,26.54
hjjmnhle-1,Cluster 5,0,38.16
hjjhmedm-1,Cluster 6,0,40.07
baijiili-1,Cluster 12,0,49.23
hjkmnpjn-1,Cluster 3,0,59.48
hjjihfbb-1,Cluster 12,0,17.32
hjkpgfde-1,Cluster 3,0,10.81
hjkoacbe-1,Cluster 12,0,18.17
hjknlgga-1,Cluster 5,0,20.37
hjknnbbl-1,Cluster 6,0,46.84
hjkpfhoo-1,Cluster 6,0,35.64
hjjedkki-1,Cluster 2,0,17.87
hjkacejm-1,Cluster 10,0,78.29
hjjmoobc-1,Cluster 12,0,19.55
hjkpcchh-1,Cluster 26,0,25.07
hjjkffbj-1,Cluster 12,0,16.11
hjjklnab-1,Cluster 3,0,19.14
hjjkdbnc-1,Cluster 6,0,39.07
hjjkgmem-1,Cluster 12,0,14.95
hjjkbaoe-1,Cluster 5,0,35.88
hjjhpalg-1,Cluster 6,0,39.80
hjjicaii-1,Cluster 6,0,33.61
hjjhpkab-1,Cluster 6,0,40.85
hjjjpfdc-1,Cluster 3,0,34.93
hjjjgfcp-1,Cluster 6,0,39.03
bahdlejj-1,Cluster 6,0,40.89
hjglehjh-1,Cluster 11,0,54.88
bahcmggg-1,Cluster 6,0,33.52
hjgmafoc-1,Cluster 5,0,22.89
hjjjplof-1,Cluster 6,0,27.83
hjgkdejd-1,Cluster 6,0,20.63
hjgkdcph-1,Cluster 6,0,47.60
hjgkenle-1,Cluster 12,0,14.35
bahemcfb-1,Cluster 11,0,49.38
hjgkjbda-1,Cluster 6,0,21.83
hjkphmcl-1,Cluster 12,0,16.46
hjkomfbf-1,Cluster 10,0,43.55
hjkpalfn-1,Cluster 6,0,27.96
hjkoghlk-1,Cluster 10,0,49.57
baffdnjp-1,Cluster 6,0,44.64
hjkolfjo-1,Cluster 6,0,14.73
hjkplcid-1,Cluster 5,0,10.76
hjkpeggc-1,Cluster 10,0,54.98
hjkpapen-1,Cluster 6,0,53.78
hjkpfgla-1,Cluster 11,0,45.11
hjgllied-1,Cluster 12,0,38.08
ofcakmpe-1,Cluster 8,0,5.79
hjgnpgfo-1,Cluster 10,0,67.42
hjgmcfho-1,Cluster 2,0,60.32
hjgoffkb-1,Cluster 5,0,23.57
hjglkcfc-1,Cluster 12,0,26.76
hjkpcibo-1,Cluster 6,0,37.66
bafenkmb-1,Cluster 6,0,43.89
hjkooiam-1,Cluster 6,0,38.33
hjjbkfjg-1,Cluster 2,0,118.50
hjjdkfdc-1,Cluster 7,0,52.42
hjjcnghc-1,Cluster 11,0,58.57
bafdcfea-1,Cluster 6,0,47.40
bafconhk-1,Cluster 6,0,49.39
hjjfmlba-1,Cluster 6,0,33.59
bafdeged-1,Cluster 6,0,52.02
hjjgefda-1,Cluster 6,0,31.92
hjjfmmal-1,Cluster 2,0,47.58
hjjgobpa-1,Cluster 6,0,44.71
hjjghkec-1,Cluster 11,0,45.04
bafbgnjm-1,Cluster 6,0,42.20
hjjgjmld-1,Cluster 6,0,63.69
hjknhncc-1,Cluster 6,0,45.82
bafboick-1,Cluster 6,0,52.21
bafblbfh-1,Cluster 2,0,71.01
hjkmobka-1,Cluster 6,0,47.69
hjkofggg-1,Cluster 6,0,40.06
hjknidog-1,Cluster 11,0,7.16
hjknklol-1,Cluster 11,0,35.85
hjjecpjk-1,Cluster 6,0,26.61
hjjdohcl-1,Cluster 11,0,48.98
hjjfoeoj-1,Cluster 3,0,151.89
hjinkbjh-1,Cluster 1,0,49.59
bafcoegc-1,Cluster 6,0,43.73
bafdjcog-1,Cluster 6,0,48.60
hjiniefp-1,Cluster 2,0,37.16
hjjhfdmn-1,Cluster 10,0,93.80
hjjhkchg-1,Cluster 7,0,67.91
hjjhcamd-1,Cluster 7,0,33.54
hjinlcgd-1,Cluster 15,0,127.43
hjjbdpgf-1,Cluster 2,0,109.39
hjjhebfe-1,Cluster 7,0,74.26
hjilpjmf-1,Cluster 3,0,90.41
hjilomlc-1,Cluster 24,0,72.73
hjjbgehh-1,Cluster 5,0,180.32
hjjbkhdc-1,Cluster 19,0,85.07
hjiobehi-1,Cluster 14,0,32.76
hjiobgoe-1,Cluster 1,0,21.77
hjiocffa-1,Cluster 3,0,27.28
hjjdffkd-1,Cluster 7,0,65.94
hjjbkfpm-1,Cluster 13,0,69.18
hjjcdfel-1,Cluster 6,0,20.35
hjlakpcb-1,Cluster 7,0,37.99
bafffjio-1,Cluster 6,0,42.52
baffeimg-1,Cluster 11,0,55.42
hjlaeafc-1,Cluster 12,0,79.45
hjlahekj-1,Cluster 1,0,50.92
bafemjif-1,Cluster 11,0,76.95
bafcamfa-1,Cluster 6,0,36.81
bafellan-1,Cluster 6,0,37.37
hjkplihl-1,Cluster 11,0,24.29
hjlafogn-1,Cluster 12,0,23.94
bafedmpd-1,Cluster 6,0,31.62
hjghmmpa-1,Cluster 11,0,31.36
hjgnnaoc-1,Cluster 5,0,69.29
hjjcdnee-1,Cluster 12,0,5.26
bafifjbf-1,Cluster 12,0,31.47
hjgljbhm-1,Cluster 12,0,9.20
hjglfebg-1,Cluster 10,0,24.50
bafdmmeo-1,Cluster 6,0,29.73
hjjcdkhk-1,Cluster 6,0,21.83
baffmjlo-1,Cluster 6,0,32.84
hjjbppnm-1,Cluster 3,0,36.13
hjjcfaao-1,Cluster 4,0,7.72
hjimebge-1,Cluster 1,0,95.37
hjjckcoj-1,Cluster 4,0,61.57
hjjbmiid-1,Cluster 10,0,22.18
hjimdhhd-1,Cluster 7,0,116.69
hjimahbd-1,Cluster 24,0,104.75
bafefbmn-1,Cluster 6,0,41.28
hjjclkao-1,Cluster 5,0,134.60
hjimanlf-1,Cluster 9,0,42.80
hjghgpmk-1,Cluster 13,0,68.26
bafdmagk-1,Cluster 6,0,47.20
hjghlnjf-1,Cluster 3,0,36.60
hjgieepm-1,Cluster 12,0,58.25
hjjciiaj-1,Cluster 5,0,185.61
hjjclcoa-1,Cluster 5,0,83.54
hjjbkkcm-1,Cluster 13,0,82.15
hjimbhle-1,Cluster 13,0,70.50
bafdnkod-1,Cluster 6,0,49.12
hjdleogd-1,Cluster 12,0,21.56
ofbpgpgg-1,Cluster 14,0,11.51
hjganlkp-1,Cluster 11,0,33.25
ofbppgll-1,Cluster 12,0,10.18
hjffopae-1,Cluster 6,0,37.32
hjgaojoh-1,Cluster 6,0,35.56
ofcafpdf-1,Cluster 12,0,20.86
hjgbbmek-1,Cluster 6,0,16.46
hjffnehm-1,Cluster 6,0,37.20
bahfghcp-1,Cluster 6,0,31.92
bahepdmk-1,Cluster 6,0,31.12
bahfjpfk-1,Cluster 6,0,32.71
hjgnmlhp-1,Cluster 12,0,31.32
bahffgji-1,Cluster 6,0,33.33
hjfgbbhg-1,Cluster 6,0,57.05
hjfhfinl-1,Cluster 5,0,15.65
hjeldlgc-1,Cluster 6,0,62.47
hjgakfpe-1,Cluster 12,0,8.02
hjdimfoj-1,Cluster 6,0,26.17
hjgabhja-1,Cluster 12,0,14.54
hjffmljd-1,Cluster 6,0,48.17
hjfhcbpd-1,Cluster 6,0,44.89
hjdionll-1,Cluster 6,0,22.65
bafgnoac-1,Cluster 6,0,52.71
hjdikfjo-1,Cluster 6,0,25.11
hjfppidk-1,Cluster 11,0,32.29
ofbpfgek-1,Cluster 8,0,9.20
hjdkpmlp-1,Cluster 6,0,61.36
hjdjapgb-1,Cluster 6,0,24.49
hjdjbpee-1,Cluster 6,0,13.91
bafhbdpn-1,Cluster 6,0,31.81
hjgnadlm-1,Cluster 12,0,6.21
hjgmjodm-1,Cluster 11,0,31.03
hjgmkdme-1,Cluster 6,0,27.21
hjdimdma-1,Cluster 6,0,37.97
hjdjdmke-1,Cluster 12,0,31.08
hjdikenp-1,Cluster 11,0,30.41
bahbadfh-1,Cluster 6,0,50.81
hjdlmaaf-1,Cluster 1,0,24.35
hjganhbb-1,Cluster 6,0,28.29
bahbapdg-1,Cluster 6,0,54.20
hjdjicgm-1,Cluster 6,0,23.13
hjdlocmk-1,Cluster 2,0,12.52
bahchebp-1,Cluster 12,0,24.29
hjemeije-1,Cluster 5,0,27.55
bahcbkhe-1,Cluster 6,0,51.10
hjelefgm-1,Cluster 6,0,26.86
hjemdbfd-1,Cluster 5,0,19.34
hjelhlfl-1,Cluster 6,0,30.75
hjelddcj-1,Cluster 6,0,28.65
hjelhcaf-1,Cluster 12,0,35.22
bahcepmo-1,Cluster 6,0,48.17
hjeldomj-1,Cluster 11,0,51.60
hjekpgag-1,Cluster 6,0,28.26
hjfhekhm-1,Cluster 11,0,31.33
befokpkf-1,Cluster 26,0,54.22
bahbgdpo-1,Cluster 6,0,39.33
hjembdik-1,Cluster 3,0,79.45
hjememdk-1,Cluster 12,0,29.66
hjelnkhd-1,Cluster 11,0,126.38
hjemapod-1,Cluster 12,0,31.68
befomlnn-1,Cluster 6,0,33.34
hjeknoga-1,Cluster 6,0,78.90
bahcachg-1,Cluster 6,0,58.38
hjeklkmj-1,Cluster 7,0,36.90
hjekoeej-1,Cluster 5,0,45.02
hjejekbh-1,Cluster 6,0,41.61
hjekkmop-1,Cluster 8,0,21.01
ofbphcbj-1,Cluster 14,0,24.98
bahapoji-1,Cluster 6,0,41.75
bahchfaj-1,Cluster 6,0,45.31
hjejlelh-1,Cluster 5,0,68.37
