#Selection names:,"Selection 1, Selection 2, Selection 3"
"#Areas (µm^2): 4831309.1, 3763197.0, 664959.6"
Selection,X,Y
Selection 1,3921.301982423333,4093.3609870438277
Selection 1,3864.4608521897267,4153.697147780698
Selection 1,3813.944874720569,4230.724210286826
Selection 1,3792.4291259638767,4301.477266816358
Selection 1,3764.809860523434,4416.847371282707
Selection 1,3725.3074913718847,4511.622369173712
Selection 1,3663.1470952016016,4533.973515465331
Selection 1,3593.3828765705534,4595.43490553496
Selection 1,3527.932037048415,4688.914184800365
Selection 1,3486.076915655644,4761.679014985436
Selection 1,3406.4072691104616,4823.515481499319
Selection 1,3334.97225540956,4899.042238228435
Selection 1,3288.5991677564684,4998.6761809654445
Selection 1,3235.2530680261293,5106.595903334586
Selection 1,3130.385103998863,5186.742919899727
Selection 1,3038.014005136934,5198.063408944452
Selection 1,2922.3370199434694,5232.775028967134
Selection 1,2839.3428321878628,5315.581678500613
Selection 1,2805.296120407266,5383.999031718206
Selection 1,2732.8552198785956,5444.471583889352
Selection 1,2634.329457545061,5513.639089995451
Selection 1,2532.2575179204073,5583.437406485068
Selection 1,2400.7932242097504,5619.478842991919
Selection 1,2293.7429972341038,5616.785112165011
Selection 1,2088.235203642059,5587.495051654713
Selection 1,1905.9821495936965,5552.289012682789
Selection 1,1769.9657917641518,5478.0238767207065
Selection 1,1633.2845256925223,5344.3432222031
Selection 1,1592.0431657539825,5281.159890275763
Selection 1,1539.8904910735394,5192.692996219921
Selection 1,1503.508075981004,5121.019297509041
Selection 1,1462.334911759601,5037.002173996381
Selection 1,1439.9155697508454,4964.834056336258
Selection 1,1393.1162588656487,4799.612882642837
Selection 1,1367.3382777879008,4688.8971358710805
Selection 1,1354.7902658347116,4568.293010114476
Selection 1,1351.7896542806877,4495.255397060857
Selection 1,1361.4904950434118,4411.28942033605
Selection 1,1376.3912592378242,4331.5515780737305
Selection 1,1389.723521938088,4245.471534117681
Selection 1,1411.495004634043,4177.19057233436
Selection 1,1460.3231381040625,4100.862515928886
Selection 1,1480.93529360869,4037.184765052307
Selection 1,1541.6124329312458,3975.65517926554
Selection 1,1589.0937009878116,3900.9979179299203
Selection 1,1658.4316963867539,3851.6753655106577
Selection 1,1744.3242021206777,3809.990733410728
Selection 1,1819.3565399005508,3768.8346181186103
Selection 1,1899.4524096778384,3726.6726159987224
Selection 1,1973.836888144911,3675.014360267521
Selection 1,2097.543919031246,3591.8667321483576
Selection 1,2391.1435302348796,3451.3324080584935
Selection 1,2301.125183614173,3501.5756026591034
Selection 1,2242.7326008157033,3542.0668097091375
Selection 1,2145.3491167442116,3654.299911187188
Selection 1,2117.78099809162,3739.680949042586
Selection 1,2078.738950030746,3835.223148751381
Selection 1,2037.5998836679116,3968.9719989861237
Selection 1,1999.6660160105114,4079.4320118186156
Selection 1,1964.2383409578922,4177.650893425034
Selection 1,1937.5397176987965,4303.830019057581
Selection 1,1924.1563082106802,4410.607463164681
Selection 1,1932.7319196406452,4525.159219025387
Selection 1,1976.343080749692,4597.020455958394
Selection 1,2024.3699145433532,4655.822213059685
Selection 1,2055.2114276185157,4725.97855706427
Selection 1,2139.6377254339964,4823.19155184292
Selection 1,2224.2174636130353,4858.414639744127
Selection 1,2373.8729648699596,4915.750188926975
Selection 1,2484.6057605709993,4932.117161039831
Selection 1,2623.02601742962,4922.245830984264
Selection 1,2741.6865652478236,4898.411427844919
Selection 1,2860.330064136743,4873.110816787129
Selection 1,2958.6512393188677,4832.9435393934955
Selection 1,3025.039769951639,4786.621598528257
Selection 1,3065.735564153083,4728.92802183044
Selection 1,3105.6300586781686,4672.7858976974885
Selection 1,3181.2591089829893,4602.288575107219
Selection 1,3269.7260030388315,4535.013500151669
Selection 1,3342.951154314577,4484.565718399648
Selection 1,3384.9426671416227,4430.264878629392
Selection 1,3466.112619463817,4310.700737559124
Selection 1,3501.5743923750038,4192.943782992984
Selection 1,3522.9537496974212,4082.381476584787
Selection 1,3527.5910584627304,4012.4467686608973
Selection 1,3528.3923581390895,3935.8629783161596
Selection 1,3529.9097128453855,3789.753654350354
Selection 1,3501.045875567193,3715.778350186102
Selection 1,3483.127450889472,3641.4279695775986
Selection 1,3463.7257693640245,3563.684852041534
Selection 1,3444.341136767862,3490.2551136143784
Selection 1,3429.5426661491542,3425.5885248393142
Selection 1,3432.3216416224827,3333.149230260248
Selection 1,3444.937849292809,3215.528667128381
Selection 1,3564.161011777393,3212.0506855543995
Selection 1,3666.983104290552,3268.158711828783
Selection 1,3786.7518325122305,3299.1536652675036
Selection 1,3889.8978546817907,3317.1573345916445
Selection 1,3980.1719352417595,3329.9610804840977
Selection 1,4079.072774019548,3306.552900576857
Selection 1,4116.409929151999,3246.9498437992074
Selection 1,4191.800294446842,3197.4908999456716
Selection 1,4275.067265070995,3176.3843254918015
Selection 1,4378.366727604113,3112.2462535245477
Selection 1,4484.888437771949,3092.8445719991
Selection 1,4517.179109836271,3178.941664884435
Selection 2,8119.396231512259,3728.2240685635866
Selection 2,8135.626812190841,3796.743715356886
Selection 2,8136.155328998652,3799.7613758401935
Selection 2,8162.547071530632,3900.963820071351
Selection 2,8179.61304974414,3991.59592814629
Selection 2,8193.542024969352,4083.7112930689564
Selection 2,8195.485602907755,4174.513890436738
Selection 2,8203.515648600624,4254.746151648299
Selection 2,8212.517483262694,4336.717403646851
Selection 2,8210.590954253576,4410.982539608934
Selection 2,8183.704792772354,4501.086130876061
Selection 2,8098.408999563378,4558.899050078868
Selection 2,8035.327961211747,4601.0610521987555
Selection 2,7983.413971541282,4677.167472523534
Selection 2,7857.149601262314,4827.982300971787
Selection 2,7805.1333180161455,4902.724806953827
Selection 2,7773.234771325361,5036.234972178591
Selection 2,7820.136375786263,5173.8198315022855
Selection 2,7873.124448001633,5241.487031831373
Selection 2,7884.172154177811,5332.988635299807
Selection 2,7833.400442769389,5399.10438306403
