,cell_id,banksy_leiden_0.7
aajemghc-1,aajemghc-1,1
aajfagik-1,aajfagik-1,1
aajfdejk-1,aajfdejk-1,1
aajfgehh-1,aajfgehh-1,1
aajfjohi-1,aajfjohi-1,1
aajgagop-1,aajgagop-1,1
aajgheha-1,aajgheha-1,1
aajgjina-1,aajgjina-1,1
aajgjnmp-1,aajgjnmp-1,1
aajgpjmp-1,aajgpjmp-1,1
aajhjmdh-1,aajhjmdh-1,1
aajhmfdj-1,aajhmfdj-1,1
aajhmggb-1,aajhmggb-1,1
aajhmibb-1,aajhmibb-1,1
aajhoped-1,aajhoped-1,1
aajhpopn-1,aajhpopn-1,4
aajicijn-1,aajicijn-1,1
aajjhdcb-1,aajjhdcb-1,1
aajjjhim-1,aajjjhim-1,1
aajkcjdj-1,aajkcjdj-1,1
aajkdmbd-1,aajkdmbd-1,1
aajkeepd-1,aajkeepd-1,1
aajlgopf-1,aajlgopf-1,1
aajncgdd-1,aajncgdd-1,1
aajobidk-1,aajobidk-1,1
aajoddid-1,aajoddid-1,1
aajojjlp-1,aajojjlp-1,4
aajolmon-1,aajolmon-1,1
aajomibi-1,aajomibi-1,1
aajopfph-1,aajopfph-1,9
aajopglf-1,aajopglf-1,1
aajpfmgj-1,aajpfmgj-1,1
aajplfai-1,aajplfai-1,1
aajpmpde-1,aajpmpde-1,4
aajppnhd-1,aajppnhd-1,1
aakampem-1,aakampem-1,3
aakandfp-1,aakandfp-1,7
aakbbfkf-1,aakbbfkf-1,7
aakbcfcj-1,aakbcfcj-1,7
aakbhgle-1,aakbhgle-1,7
aakcmcfk-1,aakcmcfk-1,3
aakddcpd-1,aakddcpd-1,4
aakebpaa-1,aakebpaa-1,1
aakehbeb-1,aakehbeb-1,1
aakenfec-1,aakenfec-1,1
aakfeldf-1,aakfeldf-1,3
aakfiiho-1,aakfiiho-1,9
aakfmmdn-1,aakfmmdn-1,4
aakghcbp-1,aakghcbp-1,4
aakgnceh-1,aakgnceh-1,1
aakhbplj-1,aakhbplj-1,1
aakimono-1,aakimono-1,1
aakjaaoj-1,aakjaaoj-1,1
aakjohgj-1,aakjohgj-1,1
aakkcbna-1,aakkcbna-1,1
aakledbn-1,aakledbn-1,1
aaklijpk-1,aaklijpk-1,1
aakljjej-1,aakljjej-1,1
aaklldfc-1,aaklldfc-1,1
aakmbjhk-1,aakmbjhk-1,4
aakmbnei-1,aakmbnei-1,4
aakmjhmc-1,aakmjhmc-1,1
aaknfnob-1,aaknfnob-1,1
aakngpnh-1,aakngpnh-1,1
aakodkek-1,aakodkek-1,1
aakoendj-1,aakoendj-1,4
aakolifi-1,aakolifi-1,1
aakpbbjl-1,aakpbbjl-1,4
aalagekk-1,aalagekk-1,9
aalakdfe-1,aalakdfe-1,1
aalappon-1,aalappon-1,1
aalbchjc-1,aalbchjc-1,9
aalbjjdf-1,aalbjjdf-1,1
aalbniii-1,aalbniii-1,1
aalceiob-1,aalceiob-1,1
aalehmme-1,aalehmme-1,1
aalehohj-1,aalehohj-1,3
aalenmam-1,aalenmam-1,3
aalfjnbm-1,aalfjnbm-1,1
aalgnomb-1,aalgnomb-1,1
aalgogkm-1,aalgogkm-1,1
aalhacde-1,aalhacde-1,4
aalhhllm-1,aalhhllm-1,4
aalhkdhm-1,aalhkdhm-1,4
aalhlbpk-1,aalhlbpk-1,1
aalihghm-1,aalihghm-1,1
aalippid-1,aalippid-1,1
aaljagjd-1,aaljagjd-1,1
aaljgkmh-1,aaljgkmh-1,1
aalkggma-1,aalkggma-1,1
aalkifhi-1,aalkifhi-1,4
aalknhoc-1,aalknhoc-1,4
aalknnee-1,aalknnee-1,4
aalkoinb-1,aalkoinb-1,4
