,cell_id,banksy_leiden_0.7
aamgbbmn-1,aamgbbmn-1,0
aamgdeml-1,aamgdeml-1,0
aamhekbi-1,aamhekbi-1,0
aamielfg-1,aamielfg-1,0
aamifgec-1,aamifgec-1,0
aamijfjh-1,aamijfjh-1,2
aamjglkl-1,aamjglkl-1,0
aamjnhdc-1,aamjnhdc-1,0
aamkdnhb-1,aamkdnhb-1,11
aamkjcfb-1,aamkjcfb-1,11
aamlgffj-1,aamlgffj-1,5
aampcben-1,aampcben-1,11
aampcfck-1,aampcfck-1,0
aampcjnh-1,aampcjnh-1,5
aanacakn-1,aanacakn-1,11
aanadoam-1,aanadoam-1,11
aanbdidg-1,aanbdidg-1,2
aanbhdfp-1,aanbhdfp-1,0
aanbngjj-1,aanbngjj-1,11
aanchgak-1,aanchgak-1,11
aandkipc-1,aandkipc-1,11
aanfojpg-1,aanfojpg-1,11
aanfpdld-1,aanfpdld-1,5
aanhdgod-1,aanhdgod-1,5
aanhjifk-1,aanhjifk-1,2
aanhnlhf-1,aanhnlhf-1,2
aanibcge-1,aanibcge-1,11
aanijdek-1,aanijdek-1,11
aanjbdnh-1,aanjbdnh-1,11
aanjjael-1,aanjjael-1,4
aankfhag-1,aankfhag-1,0
aanknfnh-1,aanknfnh-1,12
aanlcjkl-1,aanlcjkl-1,12
aanliooa-1,aanliooa-1,5
aanlmapg-1,aanlmapg-1,5
aannejib-1,aannejib-1,5
aannelja-1,aannelja-1,5
aannkeak-1,aannkeak-1,5
aannnjmf-1,aannnjmf-1,5
aanobmcb-1,aanobmcb-1,5
aanonanj-1,aanonanj-1,5
aanphkoh-1,aanphkoh-1,5
aaoagmej-1,aaoagmej-1,5
aaoakcha-1,aaoakcha-1,2
aaoandaf-1,aaoandaf-1,12
aaobbdpo-1,aaobbdpo-1,5
aaobjlih-1,aaobjlih-1,2
aaobldck-1,aaobldck-1,0
aaobmjph-1,aaobmjph-1,11
aaocckij-1,aaocckij-1,0
aaodmfnp-1,aaodmfnp-1,12
aaodmgdh-1,aaodmgdh-1,6
aaoemajd-1,aaoemajd-1,6
aaoeoljl-1,aaoeoljl-1,6
aaogpccg-1,aaogpccg-1,6
aaoijfke-1,aaoijfke-1,12
aaoljbia-1,aaoljbia-1,5
aaomdnec-1,aaomdnec-1,5
aaonidgo-1,aaonidgo-1,5
aaonkmfn-1,aaonkmfn-1,5
aaonognl-1,aaonognl-1,5
aaonplnh-1,aaonplnh-1,0
aaopjdjd-1,aaopjdjd-1,0
aaoppggk-1,aaoppggk-1,5
aapagabo-1,aapagabo-1,5
aapailac-1,aapailac-1,5
aapaoibi-1,aapaoibi-1,5
aapbeleb-1,aapbeleb-1,0
aapclmbc-1,aapclmbc-1,5
aapdbmbm-1,aapdbmbm-1,2
aapdjppg-1,aapdjppg-1,12
aapegeha-1,aapegeha-1,12
aapemhaf-1,aapemhaf-1,5
aapfcjng-1,aapfcjng-1,5
aapfpcff-1,aapfpcff-1,5
aapgdcfg-1,aapgdcfg-1,2
aapgjhmh-1,aapgjhmh-1,5
aaphmbke-1,aaphmbke-1,5
aapicpbe-1,aapicpbe-1,5
aapiekoa-1,aapiekoa-1,2
aapjaanb-1,aapjaanb-1,12
aapjhfoc-1,aapjhfoc-1,12
aaplcbfh-1,aaplcbfh-1,5
aapldnmg-1,aapldnmg-1,0
aaplnncb-1,aaplnncb-1,6
aapmbndj-1,aapmbndj-1,13
aapmfjmd-1,aapmfjmd-1,6
aapmkbgb-1,aapmkbgb-1,6
aapnlcgl-1,aapnlcgl-1,6
aapoaode-1,aapoaode-1,5
aapofmmf-1,aapofmmf-1,11
aapojcee-1,aapojcee-1,12
aappbmbf-1,aappbmbf-1,5
abadjgjl-1,abadjgjl-1,12
abafofia-1,abafofia-1,6
abahcfnp-1,abahcfnp-1,6
abahffnk-1,abahffnk-1,2
abaidlof-1,abaidlof-1,6
abaiicec-1,abaiicec-1,0
abakfmgc-1,abakfmgc-1,12
abalifhn-1,abalifhn-1,0
abamkoac-1,abamkoac-1,0
abamlkfe-1,abamlkfe-1,0
abapegmn-1,abapegmn-1,6
abbapnmk-1,abbapnmk-1,6
abbckkim-1,abbckkim-1,6
abbcofic-1,abbcofic-1,6
abbcommg-1,abbcommg-1,0
abbgcfen-1,abbgcfen-1,0
abbgpmnd-1,abbgpmnd-1,0
abbjdkld-1,abbjdkld-1,6
abblmopp-1,abblmopp-1,6
abbmippe-1,abbmippe-1,6
