,cell_id,banksy_leiden_0.7
acphcije-1,acphcije-1,NA
acphfpnn-1,acphfpnn-1,NA
acphhddc-1,acphhddc-1,NA
acphkgbi-1,acphkgbi-1,NA
acphkmin-1,acphkmin-1,NA
acphlifp-1,acphlifp-1,NA
acphnmaj-1,acphnmaj-1,NA
acpibfhl-1,acpibfhl-1,NA
acpiijmo-1,acpiijmo-1,NA
acpilmne-1,acpilmne-1,NA
acpinfef-1,acpinfef-1,NA
acpioopf-1,acpioopf-1,NA
acpjande-1,acpjande-1,NA
acpjdlbo-1,acpjdlbo-1,NA
acpjepdg-1,acpjepdg-1,NA
acpjibkh-1,acpjibkh-1,NA
acpjjmbo-1,acpjjmbo-1,NA
acpjkong-1,acpjkong-1,NA
acpjmhdi-1,acpjmhdi-1,NA
acpjojoj-1,acpjojoj-1,NA
acpjpjbb-1,acpjpjbb-1,NA
acpkbbec-1,acpkbbec-1,NA
acpkbbil-1,acpkbbil-1,NA
acpkgalo-1,acpkgalo-1,NA
acpkgnej-1,acpkgnej-1,NA
acpkjonh-1,acpkjonh-1,NA
acpkofem-1,acpkofem-1,NA
acpkojio-1,acpkojio-1,NA
acpmahho-1,acpmahho-1,NA
acpmeobp-1,acpmeobp-1,NA
acpmiomf-1,acpmiomf-1,NA
acpmlfgk-1,acpmlfgk-1,NA
acpmmkmk-1,acpmmkmk-1,NA
acpmnhjg-1,acpmnhjg-1,NA
acpmobfk-1,acpmobfk-1,NA
acpmoifp-1,acpmoifp-1,NA
acpncpbk-1,acpncpbk-1,NA
acpnfhmd-1,acpnfhmd-1,NA
acpnfnhi-1,acpnfnhi-1,NA
acpnnjpe-1,acpnnjpe-1,NA
acpnnpnh-1,acpnnpnh-1,NA
acpnojom-1,acpnojom-1,NA
acpnpjfp-1,acpnpjfp-1,NA
acpobonf-1,acpobonf-1,NA
acpojkcn-1,acpojkcn-1,NA
acpopekh-1,acpopekh-1,NA
acppamba-1,acppamba-1,NA
acppepjc-1,acppepjc-1,NA
acppgdlh-1,acppgdlh-1,NA
acppghbo-1,acppghbo-1,NA
acpphnbm-1,acpphnbm-1,NA
acpphojd-1,acpphojd-1,NA
acppkamd-1,acppkamd-1,NA
acppoflc-1,acppoflc-1,NA
adaaecjb-1,adaaecjb-1,NA
adaamhja-1,adaamhja-1,NA
adaannef-1,adaannef-1,NA
adaaoeoj-1,adaaoeoj-1,NA
adabaejo-1,adabaejo-1,NA
adabeiig-1,adabeiig-1,NA
adabocaa-1,adabocaa-1,NA
adabpaef-1,adabpaef-1,NA
adabpodb-1,adabpodb-1,NA
adacddja-1,adacddja-1,NA
adacilnb-1,adacilnb-1,NA
adacjjgc-1,adacjjgc-1,NA
adacmpfe-1,adacmpfe-1,NA
adacnggb-1,adacnggb-1,NA
adacnllh-1,adacnllh-1,NA
adacnlne-1,adacnlne-1,NA
adadickg-1,adadickg-1,NA
adadkgof-1,adadkgof-1,NA
adadnhgf-1,adadnhgf-1,NA
adadnieo-1,adadnieo-1,NA
adadolkj-1,adadolkj-1,NA
adadomjb-1,adadomjb-1,NA
adadoolp-1,adadoolp-1,NA
adadpmhh-1,adadpmhh-1,NA
adaecahi-1,adaecahi-1,NA
adaechof-1,adaechof-1,NA
adaeedmp-1,adaeedmp-1,NA
adaejepl-1,adaejepl-1,NA
adaemclk-1,adaemclk-1,NA
adaenllh-1,adaenllh-1,NA
adafbkld-1,adafbkld-1,NA
adafcjoi-1,adafcjoi-1,NA
adafekcd-1,adafekcd-1,NA
adafffgc-1,adafffgc-1,NA
adafkofd-1,adafkofd-1,NA
adagapla-1,adagapla-1,NA
adagelfd-1,adagelfd-1,NA
adagoded-1,adagoded-1,NA
adagofln-1,adagofln-1,NA
adagohkp-1,adagohkp-1,NA
adagojaj-1,adagojaj-1,NA
adahbldn-1,adahbldn-1,NA
adahgean-1,adahgean-1,NA
adahjaea-1,adahjaea-1,NA
adahmiao-1,adahmiao-1,NA
adahnfib-1,adahnfib-1,NA
adaikmge-1,adaikmge-1,NA
adajaigp-1,adajaigp-1,NA
adajckfb-1,adajckfb-1,NA
adajdjnj-1,adajdjnj-1,NA
adajebpk-1,adajebpk-1,NA
adajfnpo-1,adajfnpo-1,NA
adajoogo-1,adajoogo-1,NA
adakadje-1,adakadje-1,NA
adakalia-1,adakalia-1,NA
adakcloc-1,adakcloc-1,NA
adakclpc-1,adakclpc-1,NA
adakehad-1,adakehad-1,NA
adakhmhj-1,adakhmhj-1,NA
adalcebh-1,adalcebh-1,NA
adalebfd-1,adalebfd-1,NA
adalppoc-1,adalppoc-1,NA
adamaebh-1,adamaebh-1,NA
adambhop-1,adambhop-1,NA
adamcdpd-1,adamcdpd-1,NA
adamldgi-1,adamldgi-1,NA
adanabhn-1,adanabhn-1,NA
adanbggj-1,adanbggj-1,NA
adanfgai-1,adanfgai-1,NA
adanhkmj-1,adanhkmj-1,NA
adankfni-1,adankfni-1,NA
adanoffe-1,adanoffe-1,NA
adaoakhk-1,adaoakhk-1,NA
adaoallg-1,adaoallg-1,NA
adaohbil-1,adaohbil-1,NA
adaohgih-1,adaohgih-1,NA
adaokcin-1,adaokcin-1,NA
adapanif-1,adapanif-1,NA
adapcicb-1,adapcicb-1,NA
adapddjp-1,adapddjp-1,NA
adapfehg-1,adapfehg-1,NA
adapgcip-1,adapgcip-1,NA
adapjjnf-1,adapjjnf-1,NA
adaplekl-1,adaplekl-1,NA
adbadmkp-1,adbadmkp-1,NA
adbaebfk-1,adbaebfk-1,NA
adbafjmk-1,adbafjmk-1,NA
adbafmpl-1,adbafmpl-1,NA
adbahpep-1,adbahpep-1,NA
adbamdll-1,adbamdll-1,NA
adbapfbn-1,adbapfbn-1,NA
adbbagin-1,adbbagin-1,NA
adbbckle-1,adbbckle-1,NA
adbbjhfj-1,adbbjhfj-1,NA
adbblbpg-1,adbblbpg-1,NA
adbccdio-1,adbccdio-1,NA
adbcdmak-1,adbcdmak-1,NA
adbcgpmg-1,adbcgpmg-1,NA
adbcjmpn-1,adbcjmpn-1,NA
adbdbjnj-1,adbdbjnj-1,NA
adbdbool-1,adbdbool-1,NA
adbdcmja-1,adbdcmja-1,NA
