,cell_id,banksy_leiden_0.7
aafkkhoo-1,aafkkhoo-1,2
aafkpgmj-1,aafkpgmj-1,0
aafljaln-1,aafljaln-1,0
aaflkeab-1,aaflkeab-1,11
aaflmomd-1,aaflmomd-1,11
aafmeijc-1,aafmeijc-1,11
aafmioji-1,aafmioji-1,2
aafmnnbj-1,aafmnnbj-1,2
aafnblko-1,aafnblko-1,2
aafndnmk-1,aafndnmk-1,2
aafnimbc-1,aafnimbc-1,2
aafoeifj-1,aafoeifj-1,2
aafpahbl-1,aafpahbl-1,0
aafppijp-1,aafppijp-1,0
aagaemcj-1,aagaemcj-1,0
aagamedb-1,aagamedb-1,2
aagblofl-1,aagblofl-1,2
aagbomjh-1,aagbomjh-1,2
aagclghi-1,aagclghi-1,2
aagcopjp-1,aagcopjp-1,0
aagcpaem-1,aagcpaem-1,6
aagdadma-1,aagdadma-1,6
aagdgblf-1,aagdgblf-1,0
aagdhjlg-1,aagdhjlg-1,6
aagdokoa-1,aagdokoa-1,6
aagembji-1,aagembji-1,6
aagenbec-1,aagenbec-1,6
aagfahmg-1,aagfahmg-1,6
aagfbfik-1,aagfbfik-1,5
aagfcagd-1,aagfcagd-1,6
aagfjkml-1,aagfjkml-1,6
aaggaepc-1,aaggaepc-1,12
aaggbiee-1,aaggbiee-1,6
aaggcgfe-1,aaggcgfe-1,12
aaggjfpi-1,aaggjfpi-1,2
aaggkpjj-1,aaggkpjj-1,5
aaggopho-1,aaggopho-1,2
aaghapeo-1,aaghapeo-1,2
aaghfmgn-1,aaghfmgn-1,2
aaghgnbc-1,aaghgnbc-1,5
aaghicje-1,aaghicje-1,2
aaghijlb-1,aaghijlb-1,2
aaghjaeg-1,aaghjaeg-1,2
aaghlogm-1,aaghlogm-1,0
aagiabnb-1,aagiabnb-1,0
aagikijl-1,aagikijl-1,0
aagkabmm-1,aagkabmm-1,0
aagkalfo-1,aagkalfo-1,0
aagkbanm-1,aagkbanm-1,0
aagkfamk-1,aagkfamk-1,6
aagkfmme-1,aagkfmme-1,12
aagkikaj-1,aagkikaj-1,2
aagknbll-1,aagknbll-1,12
aaglfdgc-1,aaglfdgc-1,6
aaglnbdf-1,aaglnbdf-1,12
aagmjoec-1,aagmjoec-1,8
aagmkfmo-1,aagmkfmo-1,8
aagnaplf-1,aagnaplf-1,8
aagnfgan-1,aagnfgan-1,8
aagnggab-1,aagnggab-1,6
aagnlnon-1,aagnlnon-1,6
aagobhbl-1,aagobhbl-1,6
aagolgoj-1,aagolgoj-1,6
aagpnjnb-1,aagpnjnb-1,6
aagppebp-1,aagppebp-1,6
aagppook-1,aagppook-1,0
aahagdpf-1,aahagdpf-1,2
aahakacb-1,aahakacb-1,0
aahaldmb-1,aahaldmb-1,0
aahaneki-1,aahaneki-1,0
aahbgpop-1,aahbgpop-1,0
aahbicon-1,aahbicon-1,0
aahbllkf-1,aahbllkf-1,0
aahcoicg-1,aahcoicg-1,0
aahdlkbc-1,aahdlkbc-1,0
aahdofnn-1,aahdofnn-1,2
aaheajmi-1,aaheajmi-1,0
aahejefg-1,aahejefg-1,0
aahfgmcj-1,aahfgmcj-1,0
aahficbb-1,aahficbb-1,11
aahfihjd-1,aahfihjd-1,2
aahfnclg-1,aahfnclg-1,11
aahgafdh-1,aahgafdh-1,11
aahgncgk-1,aahgncgk-1,11
aahgpjka-1,aahgpjka-1,2
aahgppgh-1,aahgppgh-1,0
aahibijn-1,aahibijn-1,0
aahihckg-1,aahihckg-1,0
aahiklbd-1,aahiklbd-1,2
aahiolmh-1,aahiolmh-1,2
aahjbndf-1,aahjbndf-1,0
aahjimoa-1,aahjimoa-1,0
aahkchdf-1,aahkchdf-1,2
aahkljmk-1,aahkljmk-1,0
aahkmajc-1,aahkmajc-1,0
aahlbapp-1,aahlbapp-1,0
aahlbjaa-1,aahlbjaa-1,0
aahlbknk-1,aahlbknk-1,11
aahmbdkc-1,aahmbdkc-1,0
aahmjpli-1,aahmjpli-1,0
aahmmdja-1,aahmmdja-1,0
aahnaeha-1,aahnaeha-1,11
aahnbenk-1,aahnbenk-1,11
aahnfeaj-1,aahnfeaj-1,11
aahnopig-1,aahnopig-1,2
aahocnbh-1,aahocnbh-1,2
aahofgcg-1,aahofgcg-1,0
aahpklml-1,aahpklml-1,2
aaiaaiam-1,aaiaaiam-1,2
aaialhib-1,aaialhib-1,0
aaialmdp-1,aaialmdp-1,0
aaiaocen-1,aaiaocen-1,0
aaibghlh-1,aaibghlh-1,11
aaibmnop-1,aaibmnop-1,2
aaicfccg-1,aaicfccg-1,2
aaicgefm-1,aaicgefm-1,2
aaickhjb-1,aaickhjb-1,2
aaicmbdf-1,aaicmbdf-1,2
aaidifnf-1,aaidifnf-1,0
aaidkjnc-1,aaidkjnc-1,2
aaiegnpj-1,aaiegnpj-1,11
aaifajai-1,aaifajai-1,11
aaifbmid-1,aaifbmid-1,11
aaifoadp-1,aaifoadp-1,11
aaifpjen-1,aaifpjen-1,11
aaigmcia-1,aaigmcia-1,11
aaigmomn-1,aaigmomn-1,11
aaigollp-1,aaigollp-1,2
aaigpgan-1,aaigpgan-1,11
aaiiadga-1,aaiiadga-1,8
aaiihihk-1,aaiihihk-1,6
aaijmcha-1,aaijmcha-1,6
aaijpjdn-1,aaijpjdn-1,6
aaikbmmf-1,aaikbmmf-1,6
aaikhjnh-1,aaikhjnh-1,6
aailkihf-1,aailkihf-1,5
aailnhfl-1,aailnhfl-1,6
aaimbcpp-1,aaimbcpp-1,8
aaimgfoe-1,aaimgfoe-1,11
aaiobphj-1,aaiobphj-1,11
aaipiegp-1,aaipiegp-1,11
aaipnbah-1,aaipnbah-1,11
aajamack-1,aajamack-1,11
aajbdcie-1,aajbdcie-1,0
aajblpmo-1,aajblpmo-1,11
aajckmga-1,aajckmga-1,11
aajclimj-1,aajclimj-1,11
aajcloie-1,aajcloie-1,11
aajdbbbi-1,aajdbbbi-1,11
aajdmkhj-1,aajdmkhj-1,11
aajfaokc-1,aajfaokc-1,11
aajfegil-1,aajfegil-1,0
aajfiglj-1,aajfiglj-1,0
aajfonlc-1,aajfonlc-1,0
aajfoofe-1,aajfoofe-1,11
aajgclei-1,aajgclei-1,11
aajgihej-1,aajgihej-1,11
aajgjnac-1,aajgjnac-1,0
aajgmkap-1,aajgmkap-1,0
aajgogbe-1,aajgogbe-1,0
aajgpkcg-1,aajgpkcg-1,0
aajhfhoa-1,aajhfhoa-1,0
aajhojpc-1,aajhojpc-1,0
aajiljle-1,aajiljle-1,0
aajjbnpl-1,aajjbnpl-1,0
aajjdknf-1,aajjdknf-1,6
aajjdlae-1,aajjdlae-1,6
aajkabnb-1,aajkabnb-1,6
aajkndnl-1,aajkndnl-1,0
aajlgflj-1,aajlgflj-1,3
aajlijae-1,aajlijae-1,0
aajllnbn-1,aajllnbn-1,0
aajmddma-1,aajmddma-1,0
aajmgbcm-1,aajmgbcm-1,11
aajmkgpb-1,aajmkgpb-1,0
aajojden-1,aajojden-1,5
aajpjdjl-1,aajpjdjl-1,0
aajpohpe-1,aajpohpe-1,5
aakabjjp-1,aakabjjp-1,5
aakbbfao-1,aakbbfao-1,5
aakbnbhm-1,aakbnbhm-1,2
aakbnlia-1,aakbnlia-1,2
aakcckln-1,aakcckln-1,2
aakcfpep-1,aakcfpep-1,2
aakdfbeb-1,aakdfbeb-1,0
aakdikom-1,aakdikom-1,2
aakdmbpb-1,aakdmbpb-1,11
aakfbcma-1,aakfbcma-1,11
aakfbmmg-1,aakfbmmg-1,11
aakfcgjf-1,aakfcgjf-1,2
aakffkih-1,aakffkih-1,11
aakflngg-1,aakflngg-1,11
aakfngkg-1,aakfngkg-1,11
aakfokji-1,aakfokji-1,9
aakgglpf-1,aakgglpf-1,2
aakgiocj-1,aakgiocj-1,2
aakgplbn-1,aakgplbn-1,2
aakhbica-1,aakhbica-1,0
aakhdcch-1,aakhdcch-1,0
aakhddep-1,aakhddep-1,0
aakhneco-1,aakhneco-1,0
aakilomo-1,aakilomo-1,0
aakjafne-1,aakjafne-1,0
aakjdkjc-1,aakjdkjc-1,0
aakkamec-1,aakkamec-1,0
aakkkhom-1,aakkkhom-1,2
aakkkiml-1,aakkkiml-1,2
aakldbnc-1,aakldbnc-1,2
aaklkjnh-1,aaklkjnh-1,2
aakllpnn-1,aakllpnn-1,0
aakmfghl-1,aakmfghl-1,0
aakmgjmh-1,aakmgjmh-1,0
aakmhaib-1,aakmhaib-1,0
aakmofgg-1,aakmofgg-1,0
aaknapca-1,aaknapca-1,0
aaknedln-1,aaknedln-1,0
aaknfafc-1,aaknfafc-1,0
aaknhikd-1,aaknhikd-1,0
aakniepc-1,aakniepc-1,0
aakoaicp-1,aakoaicp-1,0
aakocbfl-1,aakocbfl-1,0
aakojbeo-1,aakojbeo-1,0
aakpiiod-1,aakpiiod-1,0
aakpjjme-1,aakpjjme-1,0
aakplded-1,aakplded-1,0
aakponan-1,aakponan-1,2
aaladcii-1,aaladcii-1,11
aalanjjg-1,aalanjjg-1,11
aalbaonl-1,aalbaonl-1,11
aalbflkj-1,aalbflkj-1,11
aalbgkfe-1,aalbgkfe-1,11
aalbmnkp-1,aalbmnkp-1,11
aalbnnel-1,aalbnnel-1,11
aalbobam-1,aalbobam-1,11
aalciedb-1,aalciedb-1,11
aalcodfb-1,aalcodfb-1,11
aaldjhnf-1,aaldjhnf-1,11
aaldkpam-1,aaldkpam-1,11
aalebhhl-1,aalebhhl-1,11
aaleclkm-1,aaleclkm-1,0
aalejaec-1,aalejaec-1,0
aalenkep-1,aalenkep-1,12
aalfbmop-1,aalfbmop-1,0
aalfmlep-1,aalfmlep-1,12
aalgbmpp-1,aalgbmpp-1,11
aalgeinm-1,aalgeinm-1,11
aalggmmi-1,aalggmmi-1,11
aalgoohl-1,aalgoohl-1,0
aalhdnfi-1,aalhdnfi-1,0
aalhffmi-1,aalhffmi-1,0
aalhmccn-1,aalhmccn-1,0
aalidcic-1,aalidcic-1,5
aaliilpf-1,aaliilpf-1,0
aalilpko-1,aalilpko-1,5
aaljlgmk-1,aaljlgmk-1,5
aaljmmfn-1,aaljmmfn-1,6
aaljpnmg-1,aaljpnmg-1,6
aallbamn-1,aallbamn-1,6
aallgafi-1,aallgafi-1,11
aallpddo-1,aallpddo-1,11
aalmceop-1,aalmceop-1,11
aalmepgo-1,aalmepgo-1,11
aalnbkoa-1,aalnbkoa-1,11
aalngimd-1,aalngimd-1,11
aaloajea-1,aaloajea-1,11
aalojikj-1,aalojikj-1,0
aalopaha-1,aalopaha-1,11
aalopfee-1,aalopfee-1,11
aalpiodf-1,aalpiodf-1,11
aalpmpbd-1,aalpmpbd-1,11
aamakihe-1,aamakihe-1,11
aamalpao-1,aamalpao-1,11
aambadpp-1,aambadpp-1,11
aambbekd-1,aambbekd-1,11
aambmdob-1,aambmdob-1,11
aamclkdk-1,aamclkdk-1,6
aamcnmoa-1,aamcnmoa-1,11
aamddaof-1,aamddaof-1,11
aamdlggd-1,aamdlggd-1,11
aamdlmhl-1,aamdlmhl-1,11
aamechgk-1,aamechgk-1,11
