,cell_id,banksy_leiden_0.7
aakjciem-1,aakjciem-1,16
aakkleal-1,aakkleal-1,16
aakkphkf-1,aakkphkf-1,16
aakldcoe-1,aakldcoe-1,16
aakmakdf-1,aakmakdf-1,16
aaknlfhj-1,aaknlfhj-1,16
aaknnnlp-1,aaknnnlp-1,5
aakobfld-1,aakobfld-1,2
aakoemmm-1,aakoemmm-1,16
aakpdhpo-1,aakpdhpo-1,16
aalaepoj-1,aalaepoj-1,16
aalaihek-1,aalaihek-1,16
aalalbph-1,aalalbph-1,16
aalaliid-1,aalaliid-1,16
aalcbldc-1,aalcbldc-1,16
aaldebbh-1,aaldebbh-1,16
aaldpcfk-1,aaldpcfk-1,16
aalfggbn-1,aalfggbn-1,16
aalfiplm-1,aalfiplm-1,16
aalfmfja-1,aalfmfja-1,16
aalhadpa-1,aalhadpa-1,16
aalhjogj-1,aalhjogj-1,16
aalhkoid-1,aalhkoid-1,16
aalibhem-1,aalibhem-1,16
aaljnako-1,aaljnako-1,20
aaljoebc-1,aaljoebc-1,16
aallmggd-1,aallmggd-1,16
aalmghdf-1,aalmghdf-1,16
aalmnofd-1,aalmnofd-1,16
aalmofpn-1,aalmofpn-1,16
aalnbanf-1,aalnbanf-1,16
aalnkbin-1,aalnkbin-1,16
aalpcpoa-1,aalpcpoa-1,16
aalpifen-1,aalpifen-1,16
aalpkecm-1,aalpkecm-1,16
aamabndm-1,aamabndm-1,16
aamaiilj-1,aamaiilj-1,16
aambkgbl-1,aambkgbl-1,16
aamcmcop-1,aamcmcop-1,16
aamcpbij-1,aamcpbij-1,16
aamdiigf-1,aamdiigf-1,16
aamfdbol-1,aamfdbol-1,16
aamfddjl-1,aamfddjl-1,16
aamfgdja-1,aamfgdja-1,16
aamfkkji-1,aamfkkji-1,16
aamibbfn-1,aamibbfn-1,16
aamiiblo-1,aamiiblo-1,16
aamimpnp-1,aamimpnp-1,16
aamipkdc-1,aamipkdc-1,20
aamjbjeb-1,aamjbjeb-1,20
aammlfeg-1,aammlfeg-1,20
aamnpfhb-1,aamnpfhb-1,16
aanbeajn-1,aanbeajn-1,16
aanbjeea-1,aanbjeea-1,16
aancafhm-1,aancafhm-1,16
aancljbn-1,aancljbn-1,16
aandbkgh-1,aandbkgh-1,16
aanfabjp-1,aanfabjp-1,16
aanfpcii-1,aanfpcii-1,16
aangjgdo-1,aangjgdo-1,20
aangmfhm-1,aangmfhm-1,20
