,cell_id,banksy_leiden_0.7
aaibchgj-1,aaibchgj-1,10
aaibcjee-1,aaibcjee-1,10
aaibdold-1,aaibdold-1,21
aaibilnc-1,aaibilnc-1,21
aaickicn-1,aaickicn-1,21
aaidhdka-1,aaidhdka-1,4
aaidhpef-1,aaidhpef-1,1
aaidmcml-1,aaidmcml-1,21
aaiecjlm-1,aaiecjlm-1,3
aaiegfcj-1,aaiegfcj-1,4
aaiegifd-1,aaiegifd-1,4
aaienmbo-1,aaienmbo-1,21
aaifefdl-1,aaifefdl-1,21
aaifilcn-1,aaifilcn-1,21
aaifoffa-1,aaifoffa-1,21
aaignflm-1,aaignflm-1,10
aaigpgfi-1,aaigpgfi-1,4
aaihccib-1,aaihccib-1,4
aaihiflf-1,aaihiflf-1,10
aaihjcdh-1,aaihjcdh-1,21
aaihkamp-1,aaihkamp-1,4
aaiiamoh-1,aaiiamoh-1,21
aaiicmbm-1,aaiicmbm-1,21
aaiihegl-1,aaiihegl-1,4
aaiilhln-1,aaiilhln-1,4
aaijbjhe-1,aaijbjhe-1,10
aaijikpi-1,aaijikpi-1,4
aaikfdbg-1,aaikfdbg-1,1
aaiklpmi-1,aaiklpmi-1,4
aaikpcek-1,aaikpcek-1,4
aailcjdh-1,aailcjdh-1,4
aailmaie-1,aailmaie-1,10
aaimcjcd-1,aaimcjcd-1,10
aaimekan-1,aaimekan-1,10
aaimkcnm-1,aaimkcnm-1,10
aaimklop-1,aaimklop-1,10
aainbmhp-1,aainbmhp-1,10
aaincjea-1,aaincjea-1,10
aainpfja-1,aainpfja-1,10
aainpnok-1,aainpnok-1,10
aaionecm-1,aaionecm-1,10
aaipbdoj-1,aaipbdoj-1,10
aaipcbkn-1,aaipcbkn-1,10
aajacaca-1,aajacaca-1,10
aajaggod-1,aajaggod-1,10
aajajoic-1,aajajoic-1,10
aajccmje-1,aajccmje-1,10
aajcghkl-1,aajcghkl-1,4
aajcgknk-1,aajcgknk-1,10
aajcibdi-1,aajcibdi-1,10
aajclcfn-1,aajclcfn-1,10
aajcoimk-1,aajcoimk-1,10
aajdeolm-1,aajdeolm-1,10
aajdkgfc-1,aajdkgfc-1,10
aajdkjfb-1,aajdkjfb-1,10
aajdlfbe-1,aajdlfbe-1,10
aajennfb-1,aajennfb-1,10
aajflgef-1,aajflgef-1,10
aajfnold-1,aajfnold-1,10
aajgfmag-1,aajgfmag-1,10
aajghboi-1,aajghboi-1,10
aajgkhcd-1,aajgkhcd-1,10
aajhjdnc-1,aajhjdnc-1,10
aajhjiob-1,aajhjiob-1,4
aajigpgi-1,aajigpgi-1,10
aajihknh-1,aajihknh-1,10
aajiohgc-1,aajiohgc-1,10
aajjbbdk-1,aajjbbdk-1,10
aajjcbif-1,aajjcbif-1,10
aajjcicn-1,aajjcicn-1,10
aajjcmmb-1,aajjcmmb-1,10
aajjjfol-1,aajjjfol-1,10
aajkgcnm-1,aajkgcnm-1,10
aajkgpca-1,aajkgpca-1,10
aajldhjm-1,aajldhjm-1,10
aajlfcge-1,aajlfcge-1,10
aajlfifm-1,aajlfifm-1,10
aajlhjhp-1,aajlhjhp-1,10
aajngmhc-1,aajngmhc-1,10
aajnjibp-1,aajnjibp-1,10
aajnkihj-1,aajnkihj-1,10
aajnmlcc-1,aajnmlcc-1,10
aajodgag-1,aajodgag-1,10
aajokagc-1,aajokagc-1,10
aajpnnlk-1,aajpnnlk-1,10
aakacndh-1,aakacndh-1,10
aakadoao-1,aakadoao-1,4
aakamnpn-1,aakamnpn-1,10
aakbadli-1,aakbadli-1,10
aakbbfkm-1,aakbbfkm-1,10
aakbmecg-1,aakbmecg-1,10
aakbmlob-1,aakbmlob-1,10
aakbnoid-1,aakbnoid-1,10
aakcmcac-1,aakcmcac-1,10
aakdgfha-1,aakdgfha-1,10
aakdklhc-1,aakdklhc-1,10
aakdlfpa-1,aakdlfpa-1,10
aakedjbb-1,aakedjbb-1,10
aakeghgl-1,aakeghgl-1,10
aakeipfp-1,aakeipfp-1,10
aakeldon-1,aakeldon-1,10
aakfahkf-1,aakfahkf-1,10
aakfaipk-1,aakfaipk-1,10
aakfcccg-1,aakfcccg-1,10
aakfejoh-1,aakfejoh-1,10
aakfgcfk-1,aakfgcfk-1,10
aakggfmb-1,aakggfmb-1,10
aakgnkjb-1,aakgnkjb-1,10
aakhdgec-1,aakhdgec-1,10
aakhmcfp-1,aakhmcfp-1,10
aakifjpl-1,aakifjpl-1,10
aakiilni-1,aakiilni-1,10
aakijlfg-1,aakijlfg-1,10
aakikmni-1,aakikmni-1,10
aakilpnd-1,aakilpnd-1,10
aakjggnk-1,aakjggnk-1,10
aakjkdaf-1,aakjkdaf-1,10
aakkcodp-1,aakkcodp-1,10
aakkjgmc-1,aakkjgmc-1,10
aakkllab-1,aakkllab-1,10
aakkmadc-1,aakkmadc-1,10
aakkmlni-1,aakkmlni-1,10
aakkncnk-1,aakkncnk-1,10
aakliaok-1,aakliaok-1,10
aakmcdkb-1,aakmcdkb-1,10
aakmheag-1,aakmheag-1,10
aakmjbeh-1,aakmjbeh-1,10
aaknoiml-1,aaknoiml-1,10
aakoflij-1,aakoflij-1,10
aakoliad-1,aakoliad-1,10
aakpccon-1,aakpccon-1,10
aakpcgai-1,aakpcgai-1,10
aakpknap-1,aakpknap-1,10
aalaafhk-1,aalaafhk-1,10
aalacnnm-1,aalacnnm-1,10
aalbeapn-1,aalbeapn-1,10
aalbfokg-1,aalbfokg-1,10
aalblmhm-1,aalblmhm-1,10
aalclgng-1,aalclgng-1,10
aalcombf-1,aalcombf-1,10
aaldcmdg-1,aaldcmdg-1,10
aaldelkn-1,aaldelkn-1,10
aaldgohf-1,aaldgohf-1,10
aalepfgl-1,aalepfgl-1,10
aalepmdb-1,aalepmdb-1,10
aalfhmgo-1,aalfhmgo-1,10
aalfliii-1,aalfliii-1,10
aalfllap-1,aalfllap-1,10
aalgjkdj-1,aalgjkdj-1,10
aalgnfhn-1,aalgnfhn-1,10
aalgoiii-1,aalgoiii-1,10
aalhcjmn-1,aalhcjmn-1,10
aalideee-1,aalideee-1,10
aalieoof-1,aalieoof-1,10
aalkbjpm-1,aalkbjpm-1,10
aalkbodf-1,aalkbodf-1,10
aalkeeeo-1,aalkeeeo-1,10
aalkkpjp-1,aalkkpjp-1,10
aalkmpgd-1,aalkmpgd-1,10
aalldobp-1,aalldobp-1,10
