,cell_id,banksy_leiden_0.7
bdcibolo-1,bdcibolo-1,12
bdciigch-1,bdciigch-1,12
bdcjajkj-1,bdcjajkj-1,13
bdcjbopk-1,bdcjbopk-1,13
bdcjinpo-1,bdcjinpo-1,15
bdcjkceh-1,bdcjkceh-1,2
bdckmglk-1,bdckmglk-1,15
bdclpnmc-1,bdclpnmc-1,15
bdcmnfae-1,bdcmnfae-1,13
bdcnekpp-1,bdcnekpp-1,13
bdcnhapd-1,bdcnhapd-1,13
bdcnnjpk-1,bdcnnjpk-1,13
bdcnnkkm-1,bdcnnkkm-1,13
bdcnnpko-1,bdcnnpko-1,13
bdcopcgh-1,bdcopcgh-1,5
bddaenno-1,bddaenno-1,13
bddagbjc-1,bddagbjc-1,13
bddaiofe-1,bddaiofe-1,13
bddaoknj-1,bddaoknj-1,13
bddbccbg-1,bddbccbg-1,13
bddbcfpb-1,bddbcfpb-1,3
bddbemem-1,bddbemem-1,2
bddbmlef-1,bddbmlef-1,13
bdddapdj-1,bdddapdj-1,13
bdddbpgo-1,bdddbpgo-1,13
bddddmbk-1,bddddmbk-1,13
bdddejgj-1,bdddejgj-1,13
bdddgigl-1,bdddgigl-1,2
bddebmfp-1,bddebmfp-1,15
bddedmka-1,bddedmka-1,13
bddfhhgk-1,bddfhhgk-1,13
bddfmhpm-1,bddfmhpm-1,13
bddgljon-1,bddgljon-1,13
bddgmgnc-1,bddgmgnc-1,13
bddgpjmo-1,bddgpjmo-1,13
bddhpadi-1,bddhpadi-1,13
bddieedf-1,bddieedf-1,13
bddingcm-1,bddingcm-1,13
bddjbnlf-1,bddjbnlf-1,13
bddjdfmf-1,bddjdfmf-1,13
bddjjmnm-1,bddjjmnm-1,13
bddjjnfn-1,bddjjnfn-1,13
bddjoepa-1,bddjoepa-1,13
bddkkcod-1,bddkkcod-1,13
bddkmncl-1,bddkmncl-1,13
bddlnnmj-1,bddlnnmj-1,13
bddmebmh-1,bddmebmh-1,13
bddmnokh-1,bddmnokh-1,13
bddojdof-1,bddojdof-1,13
bddpmfef-1,bddpmfef-1,5
bddpnaoh-1,bddpnaoh-1,13
bddpnhep-1,bddpnhep-1,13
bdeahmne-1,bdeahmne-1,13
bdeapmnb-1,bdeapmnb-1,13
bdebahnd-1,bdebahnd-1,13
bdebpfbb-1,bdebpfbb-1,13
bdedhlde-1,bdedhlde-1,13
bdeedmki-1,bdeedmki-1,13
bdeeeoka-1,bdeeeoka-1,13
bdeeepcl-1,bdeeepcl-1,13
bdefaimb-1,bdefaimb-1,13
bdefmhed-1,bdefmhed-1,13
bdefnedk-1,bdefnedk-1,13
bdegijee-1,bdegijee-1,13
bdegilei-1,bdegilei-1,13
bdehjabo-1,bdehjabo-1,13
bdeibdjl-1,bdeibdjl-1,13
bdeingel-1,bdeingel-1,13
bdeipckc-1,bdeipckc-1,13
bdejemfn-1,bdejemfn-1,13
bdejonpl-1,bdejonpl-1,2
bdejphgo-1,bdejphgo-1,9
bdekdgkf-1,bdekdgkf-1,9
bdekdlio-1,bdekdlio-1,13
bdekonme-1,bdekonme-1,13
bdelcdkd-1,bdelcdkd-1,13
bdelfmfk-1,bdelfmfk-1,13
bdelkcmn-1,bdelkcmn-1,15
bdemabdc-1,bdemabdc-1,15
bdemckfo-1,bdemckfo-1,17
bdemdebh-1,bdemdebh-1,15
bdemldid-1,bdemldid-1,15
bdemmcjo-1,bdemmcjo-1,15
bdendbcc-1,bdendbcc-1,15
bdennlhh-1,bdennlhh-1,13
