,cell_id,initial_cell_type,banksy_leiden_0.7
bejkbfmk-1,bejkbfmk-1,Lymphocyte,NA
bejkgnkf-1,bejkgnkf-1,Fibroblast,NA
bejkmlhl-1,bejkmlhl-1,Lymphocyte,NA
bejlfmbb-1,bejlfmbb-1,Fibroblast,NA
bejoomjk-1,bejoomjk-1,Fibroblast,NA
bejpbaem-1,bejpbaem-1,Fibroblast,NA
bejphmch-1,bejphmch-1,Hepatocyte,NA
bekafpkh-1,bekafpkh-1,Hepatocyte,NA
bekehbid-1,bekehbid-1,Hepatocyte,NA
bekenikl-1,bekenikl-1,Hepatocyte,NA
bekfolmg-1,bekfolmg-1,Hepatocyte,NA
bekhpimh-1,bekhpimh-1,Hepatocyte,NA
bekinpba-1,bekinpba-1,Hepatocyte,NA
bekkcoin-1,bekkcoin-1,Hepatocyte,NA
bekljbnh-1,bekljbnh-1,Lymphocyte,NA
bekljfpo-1,bekljfpo-1,Hepatocyte,NA
beklkaal-1,beklkaal-1,Lymphocyte,NA
bekmenfl-1,bekmenfl-1,Cholangiocyte,NA
bekmjghj-1,bekmjghj-1,Hepatocyte,NA
bekmopjg-1,bekmopjg-1,Hepatocyte,NA
bekoppcn-1,bekoppcn-1,Hepatocyte,NA
belaclnd-1,belaclnd-1,Hepatocyte,NA
belbebji-1,belbebji-1,Hepatocyte,NA
belcolnc-1,belcolnc-1,Hepatocyte,NA
beldfhpo-1,beldfhpo-1,Hepatocyte,NA
beldijik-1,beldijik-1,Hepatocyte,NA
beldnfmd-1,beldnfmd-1,Hepatocyte,NA
beldooda-1,beldooda-1,Hepatocyte,NA
beleepbh-1,beleepbh-1,Fibroblast,NA
belgebgk-1,belgebgk-1,Hepatocyte,NA
belgkapg-1,belgkapg-1,Fibroblast,NA
belhenkl-1,belhenkl-1,Hepatocyte,NA
belhldof-1,belhldof-1,Hepatocyte,NA
beljhooi-1,beljhooi-1,Lymphocyte,NA
belkblpj-1,belkblpj-1,Hepatocyte,NA
belkphcg-1,belkphcg-1,Hepatocyte,NA
belnfmmk-1,belnfmmk-1,Hepatocyte,NA
belnmiom-1,belnmiom-1,Cholangiocyte,NA
belnnjcn-1,belnnjcn-1,Necrosis,NA
belojlpd-1,belojlpd-1,Cholangiocyte,NA
belpfgli-1,belpfgli-1,Hepatocyte,NA
bemaopkn-1,bemaopkn-1,Hepatocyte,NA
bembcpgh-1,bembcpgh-1,Hepatocyte,NA
bemcfpec-1,bemcfpec-1,Hepatocyte,NA
bemcldah-1,bemcldah-1,Hepatocyte,NA
bemdglmf-1,bemdglmf-1,Hepatocyte,NA
bemecaca-1,bemecaca-1,Hepatocyte,NA
bemeiaei-1,bemeiaei-1,Hepatocyte,NA
bemfgnai-1,bemfgnai-1,Hepatocyte,NA
bemgjnbd-1,bemgjnbd-1,Hepatocyte,NA
bemhhkjh-1,bemhhkjh-1,Hepatocyte,NA
bemigeip-1,bemigeip-1,Myeloid,NA
bemkjeel-1,bemkjeel-1,Hepatocyte,NA
bemlemfp-1,bemlemfp-1,Hepatocyte,NA
bemlkfed-1,bemlkfed-1,Hepatocyte,NA
bemlkhal-1,bemlkhal-1,Hepatocyte,NA
bemobdbn-1,bemobdbn-1,Hepatocyte,NA
bempafcf-1,bempafcf-1,Fibroblast,NA
benboejk-1,benboejk-1,Endothelial-Mural Cell,NA
bencnggm-1,bencnggm-1,Hepatocyte,NA
bendkeaf-1,bendkeaf-1,Hepatocyte,NA
benfnmlg-1,benfnmlg-1,Hepatocyte,NA
benhbkmb-1,benhbkmb-1,Hepatocyte,NA
benicgpm-1,benicgpm-1,Hepatocyte,NA
benkapfg-1,benkapfg-1,Hepatocyte,NA
benkfppf-1,benkfppf-1,Hepatocyte,NA
benkhlmc-1,benkhlmc-1,Hepatocyte,NA
benlicih-1,benlicih-1,Hepatocyte,NA
benmoiic-1,benmoiic-1,Hepatocyte,NA
benngncd-1,benngncd-1,Hepatocyte,NA
benopgok-1,benopgok-1,Hepatocyte,NA
benpgjek-1,benpgjek-1,Hepatocyte,NA
beoaejom-1,beoaejom-1,Hepatocyte,NA
beoahefo-1,beoahefo-1,Hepatocyte,NA
beoalfom-1,beoalfom-1,Hepatocyte,NA
beocglng-1,beocglng-1,Hepatocyte,NA
beoekiph-1,beoekiph-1,Hepatocyte,NA
beogmgei-1,beogmgei-1,Hepatocyte,NA
beohcnpo-1,beohcnpo-1,Hepatocyte,NA
beohlppo-1,beohlppo-1,Hepatocyte,NA
beoleoao-1,beoleoao-1,Hepatocyte,NA
beoljjog-1,beoljjog-1,Hepatocyte,NA
beonnedn-1,beonnedn-1,Hepatocyte,NA
beoobphj-1,beoobphj-1,Hepatocyte,NA
beoomfpf-1,beoomfpf-1,Hepatocyte,NA
beoopcbh-1,beoopcbh-1,Hepatocyte,NA
beopaoec-1,beopaoec-1,Hepatocyte,NA
bepbahhi-1,bepbahhi-1,Hepatocyte,NA
bepclbfi-1,bepclbfi-1,Hepatocyte,NA
bepdkkjo-1,bepdkkjo-1,Myeloid,NA
bepepgeo-1,bepepgeo-1,Hepatocyte,NA
bepgdgfj-1,bepgdgfj-1,Cholangiocyte,NA
bepgkpef-1,bepgkpef-1,Hepatocyte,NA
bephaeck-1,bephaeck-1,Fibroblast,NA
bepkmeae-1,bepkmeae-1,Hepatocyte,NA
bepnaibl-1,bepnaibl-1,Hepatocyte,NA
bepoeedf-1,bepoeedf-1,Hepatocyte,NA
beppbcfi-1,beppbcfi-1,Cholangiocyte,NA
beppbfog-1,beppbfog-1,Cholangiocyte,NA
bfaaejpo-1,bfaaejpo-1,Hepatocyte,NA
bfaaonfd-1,bfaaonfd-1,Endothelial-Mural Cell,NA
bfabnogm-1,bfabnogm-1,Hepatocyte,NA
bfadcfob-1,bfadcfob-1,Hepatocyte,NA
bfadphgj-1,bfadphgj-1,Hepatocyte,NA
bfaeanpk-1,bfaeanpk-1,Hepatocyte,NA
bfafdkeo-1,bfafdkeo-1,Hepatocyte,NA
bfafjogd-1,bfafjogd-1,Hepatocyte,NA
bfaifmil-1,bfaifmil-1,Hepatocyte,NA
bfaiidmh-1,bfaiidmh-1,Hepatocyte,NA
bfaijggp-1,bfaijggp-1,Hepatocyte,NA
bfakbpdg-1,bfakbpdg-1,Hepatocyte,NA
bfakdcam-1,bfakdcam-1,Hepatocyte,NA
bfakmfod-1,bfakmfod-1,Hepatocyte,NA
bfalpibj-1,bfalpibj-1,Hepatocyte,NA
bfamiede-1,bfamiede-1,Hepatocyte,NA
bfanoiad-1,bfanoiad-1,Hepatocyte,NA
bfapjkjg-1,bfapjkjg-1,Hepatocyte,NA
bfbbnlkd-1,bfbbnlkd-1,Fibroblast,NA
bfbchldh-1,bfbchldh-1,Myeloid,NA
bfbdhlec-1,bfbdhlec-1,Hepatocyte,NA
bfbdneoa-1,bfbdneoa-1,Myeloid,NA
bfbencoa-1,bfbencoa-1,Necrosis,NA
bfbfnefn-1,bfbfnefn-1,Hepatocyte,NA
bfbghfgm-1,bfbghfgm-1,Hepatocyte,NA
bfbidgpj-1,bfbidgpj-1,Hepatocyte,NA
bfbimegg-1,bfbimegg-1,Hepatocyte,NA
bfbinfkn-1,bfbinfkn-1,Hepatocyte,NA
bfbjhfgh-1,bfbjhfgh-1,Hepatocyte,NA
bfbjpnlo-1,bfbjpnlo-1,Hepatocyte,NA
bfbnlgam-1,bfbnlgam-1,Hepatocyte,NA
bfbnmndo-1,bfbnmndo-1,Hepatocyte,NA
bfboipco-1,bfboipco-1,Hepatocyte,NA
bfbpceoj-1,bfbpceoj-1,Hepatocyte,NA
bfcabkid-1,bfcabkid-1,Hepatocyte,NA
bfcbamca-1,bfcbamca-1,Hepatocyte,NA
bfcdcfnb-1,bfcdcfnb-1,Hepatocyte,NA
bfcgdfdb-1,bfcgdfdb-1,Hepatocyte,NA
bfciakbm-1,bfciakbm-1,Hepatocyte,NA
bfcigmgh-1,bfcigmgh-1,Hepatocyte,NA
bfcipglk-1,bfcipglk-1,Hepatocyte,NA
bfcjbkec-1,bfcjbkec-1,Hepatocyte,NA
bfcjblco-1,bfcjblco-1,Hepatocyte,NA
bfckemga-1,bfckemga-1,Hepatocyte,NA
bfcllcla-1,bfcllcla-1,Hepatocyte,NA
bfcmbgfk-1,bfcmbgfk-1,Hepatocyte,NA
bfcockcl-1,bfcockcl-1,Hepatocyte,NA
bfdcpdde-1,bfdcpdde-1,Hepatocyte,NA
bfdfadgd-1,bfdfadgd-1,Hepatocyte,NA
bfdfbile-1,bfdfbile-1,Hepatocyte,NA
bfdfilol-1,bfdfilol-1,Hepatocyte,NA
bfdgmcfn-1,bfdgmcfn-1,Hepatocyte,NA
bfdmbaeb-1,bfdmbaeb-1,Hepatocyte,NA
bfdodobf-1,bfdodobf-1,Hepatocyte,NA
bfedfmlb-1,bfedfmlb-1,Hepatocyte,NA
bfeeimed-1,bfeeimed-1,Hepatocyte,NA
bfegacoe-1,bfegacoe-1,Hepatocyte,NA
bfegcafi-1,bfegcafi-1,Hepatocyte,NA
bfegflmi-1,bfegflmi-1,Myeloid,NA
bfegijeb-1,bfegijeb-1,Hepatocyte,NA
bfegndmd-1,bfegndmd-1,Hepatocyte,NA
bfegpgob-1,bfegpgob-1,Hepatocyte,NA
bfehkndb-1,bfehkndb-1,Hepatocyte,NA
bfehljpg-1,bfehljpg-1,Hepatocyte,NA
bfeibflf-1,bfeibflf-1,Hepatocyte,NA
bfejinlh-1,bfejinlh-1,Hepatocyte,NA
bfejmigo-1,bfejmigo-1,Hepatocyte,NA
bfelfaac-1,bfelfaac-1,Hepatocyte,NA
bfelkdgf-1,bfelkdgf-1,Hepatocyte,NA
bfemcnnh-1,bfemcnnh-1,Endothelial-Mural Cell,NA
bfeogioe-1,bfeogioe-1,Hepatocyte,NA
bfeojemi-1,bfeojemi-1,Hepatocyte,NA
bfepaaoh-1,bfepaaoh-1,Hepatocyte,NA
bfepplgp-1,bfepplgp-1,Myeloid,NA
bffaclcc-1,bffaclcc-1,Hepatocyte,NA
bffaokja-1,bffaokja-1,Hepatocyte,NA
bffbnmmk-1,bffbnmmk-1,Hepatocyte,NA
bffbokcf-1,bffbokcf-1,Hepatocyte,NA
bffebcnc-1,bffebcnc-1,Hepatocyte,NA
bffepoed-1,bffepoed-1,Myeloid,NA
bfffafpc-1,bfffafpc-1,Hepatocyte,NA
bfffbmla-1,bfffbmla-1,Hepatocyte,NA
bfffenfn-1,bfffenfn-1,Hepatocyte,NA
bffhbpba-1,bffhbpba-1,Hepatocyte,NA
bffhggpi-1,bffhggpi-1,Endothelial-Mural Cell,NA
bffhkoid-1,bffhkoid-1,Hepatocyte,NA
bffihhag-1,bffihhag-1,Hepatocyte,NA
bffikheb-1,bffikheb-1,Hepatocyte,NA
bffinalj-1,bffinalj-1,Hepatocyte,NA
bffkmkef-1,bffkmkef-1,Hepatocyte,NA
bfflgikd-1,bfflgikd-1,Hepatocyte,NA
bffllbca-1,bffllbca-1,Hepatocyte,NA
bffndomf-1,bffndomf-1,Hepatocyte,NA
bffnfbgp-1,bffnfbgp-1,Hepatocyte,NA
bffnhgcd-1,bffnhgcd-1,Hepatocyte,NA
bffnmnal-1,bffnmnal-1,Hepatocyte,NA
bfgbdada-1,bfgbdada-1,Hepatocyte,NA
bfgccomf-1,bfgccomf-1,Hepatocyte,NA
bfgcimnf-1,bfgcimnf-1,Hepatocyte,NA
bfgeimfb-1,bfgeimfb-1,Hepatocyte,NA
bfgejmbm-1,bfgejmbm-1,Hepatocyte,NA
bfgfbdgh-1,bfgfbdgh-1,Hepatocyte,NA
bfggejmj-1,bfggejmj-1,Hepatocyte,NA
bfggfned-1,bfggfned-1,Hepatocyte,NA
bfgghima-1,bfgghima-1,Hepatocyte,NA
bfggjben-1,bfggjben-1,Hepatocyte,NA
bfgigfbb-1,bfgigfbb-1,Hepatocyte,NA
bfgjdggb-1,bfgjdggb-1,Hepatocyte,NA
bfgkeneo-1,bfgkeneo-1,Hepatocyte,NA
bfgkkipa-1,bfgkkipa-1,Hepatocyte,NA
bfgllcfd-1,bfgllcfd-1,Hepatocyte,NA
bfgmmelh-1,bfgmmelh-1,Hepatocyte,NA
bfgnjkbd-1,bfgnjkbd-1,Myeloid,NA
bfgodflo-1,bfgodflo-1,Hepatocyte,NA
bfgpohol-1,bfgpohol-1,Hepatocyte,NA
bfhbehgo-1,bfhbehgo-1,Hepatocyte,NA
bfhdbajh-1,bfhdbajh-1,Hepatocyte,NA
bfheneni-1,bfheneni-1,Hepatocyte,NA
bfhjopbb-1,bfhjopbb-1,Hepatocyte,NA
bfhkennf-1,bfhkennf-1,Hepatocyte,NA
bfhldgfj-1,bfhldgfj-1,Hepatocyte,NA
bfhmalah-1,bfhmalah-1,Hepatocyte,NA
bfhppino-1,bfhppino-1,Hepatocyte,NA
bfiajiff-1,bfiajiff-1,Hepatocyte,NA
bfiannpp-1,bfiannpp-1,Hepatocyte,NA
bfiaodkh-1,bfiaodkh-1,Hepatocyte,NA
bfibddij-1,bfibddij-1,Hepatocyte,NA
bfibmane-1,bfibmane-1,Hepatocyte,NA
bficdfag-1,bficdfag-1,Hepatocyte,NA
bfieplfl-1,bfieplfl-1,Hepatocyte,NA
bfihggff-1,bfihggff-1,Hepatocyte,NA
bfiiccko-1,bfiiccko-1,Hepatocyte,NA
bfiijcan-1,bfiijcan-1,Hepatocyte,NA
bfijcaom-1,bfijcaom-1,Hepatocyte,NA
bfijncme-1,bfijncme-1,Hepatocyte,NA
bfilgbjl-1,bfilgbjl-1,Hepatocyte,NA
bfiljodd-1,bfiljodd-1,Hepatocyte,NA
bfimjfdp-1,bfimjfdp-1,Hepatocyte,NA
bfinklec-1,bfinklec-1,Hepatocyte,NA
bfinoejc-1,bfinoejc-1,Hepatocyte,NA
bfioibah-1,bfioibah-1,Hepatocyte,NA
bfipgcnf-1,bfipgcnf-1,Hepatocyte,NA
bfjakonj-1,bfjakonj-1,Hepatocyte,NA
bfjbdnol-1,bfjbdnol-1,Hepatocyte,NA
bfjbfoog-1,bfjbfoog-1,Hepatocyte,NA
bfjbpnfn-1,bfjbpnfn-1,Hepatocyte,NA
bfjcmhhl-1,bfjcmhhl-1,Hepatocyte,NA
bfjcoile-1,bfjcoile-1,Hepatocyte,NA
bfjddlpl-1,bfjddlpl-1,Hepatocyte,NA
bfjdgpkl-1,bfjdgpkl-1,Hepatocyte,NA
bfjdnjph-1,bfjdnjph-1,Hepatocyte,NA
bfjemlkk-1,bfjemlkk-1,Hepatocyte,NA
bfjfehfe-1,bfjfehfe-1,Hepatocyte,NA
bfjfjfgi-1,bfjfjfgi-1,Hepatocyte,NA
bfjfknea-1,bfjfknea-1,Hepatocyte,NA
bfjgdmao-1,bfjgdmao-1,Hepatocyte,NA
bfjglipo-1,bfjglipo-1,Hepatocyte,NA
bfjhmngp-1,bfjhmngp-1,Hepatocyte,NA
bfjicdlo-1,bfjicdlo-1,Hepatocyte,NA
bfjieejl-1,bfjieejl-1,Hepatocyte,NA
bfjikgna-1,bfjikgna-1,Hepatocyte,NA
bfjilhko-1,bfjilhko-1,Hepatocyte,NA
bfjjnmmj-1,bfjjnmmj-1,Hepatocyte,NA
bfjjpcjm-1,bfjjpcjm-1,Hepatocyte,NA
bfjlhnlf-1,bfjlhnlf-1,Fibroblast,NA
bfjlpkkk-1,bfjlpkkk-1,Hepatocyte,NA
bfjmlama-1,bfjmlama-1,Hepatocyte,NA
bfjoppng-1,bfjoppng-1,Hepatocyte,NA
bfkafobj-1,bfkafobj-1,Myeloid,NA
bfkahiog-1,bfkahiog-1,Hepatocyte,NA
bfkcboin-1,bfkcboin-1,Hepatocyte,NA
bfkdklam-1,bfkdklam-1,Hepatocyte,NA
bfkecdcj-1,bfkecdcj-1,Hepatocyte,NA
bfkegohm-1,bfkegohm-1,Hepatocyte,NA
bfkemajb-1,bfkemajb-1,Hepatocyte,NA
bfkenkgg-1,bfkenkgg-1,Hepatocyte,NA
bfkfidnn-1,bfkfidnn-1,Hepatocyte,NA
bfkijecc-1,bfkijecc-1,Hepatocyte,NA
bfkilead-1,bfkilead-1,Hepatocyte,NA
bfkindch-1,bfkindch-1,Hepatocyte,NA
bfkjaieg-1,bfkjaieg-1,Hepatocyte,NA
bfkjbhen-1,bfkjbhen-1,Hepatocyte,NA
bfkjcdaf-1,bfkjcdaf-1,Hepatocyte,NA
bfkndehk-1,bfkndehk-1,Hepatocyte,NA
bfknpilb-1,bfknpilb-1,Hepatocyte,NA
bflbcjca-1,bflbcjca-1,Hepatocyte,NA
bflbfkmo-1,bflbfkmo-1,Hepatocyte,NA
bflbgajj-1,bflbgajj-1,Hepatocyte,NA
bflcbooc-1,bflcbooc-1,Lymphocyte,NA
bfldjdld-1,bfldjdld-1,Hepatocyte,NA
bfleeapk-1,bfleeapk-1,Hepatocyte,NA
bflegefh-1,bflegefh-1,Hepatocyte,NA
bflekheb-1,bflekheb-1,Hepatocyte,NA
bflenbne-1,bflenbne-1,Hepatocyte,NA
bflhghpg-1,bflhghpg-1,Hepatocyte,NA
bflihgmc-1,bflihgmc-1,Hepatocyte,NA
bflkmgef-1,bflkmgef-1,Hepatocyte,NA
bfllbdnb-1,bfllbdnb-1,Hepatocyte,NA
bfllggmf-1,bfllggmf-1,Hepatocyte,NA
bfllggof-1,bfllggof-1,Hepatocyte,NA
bflollbc-1,bflollbc-1,Hepatocyte,NA
bfmbamae-1,bfmbamae-1,Hepatocyte,NA
bfmbhmpf-1,bfmbhmpf-1,Hepatocyte,NA
bfmbmabe-1,bfmbmabe-1,Myeloid,NA
bfmbmonj-1,bfmbmonj-1,Hepatocyte,NA
bfmcbfhn-1,bfmcbfhn-1,Hepatocyte,NA
bfmdikkp-1,bfmdikkp-1,Hepatocyte,NA
bfmdjeaa-1,bfmdjeaa-1,Hepatocyte,NA
bfmebcmi-1,bfmebcmi-1,Lymphocyte,NA
bfmhpmhm-1,bfmhpmhm-1,Hepatocyte,NA
bfmjcoca-1,bfmjcoca-1,Hepatocyte,NA
bfmkaddo-1,bfmkaddo-1,Hepatocyte,NA
bfmlkfkp-1,bfmlkfkp-1,Unknown,NA
bfmmbjbf-1,bfmmbjbf-1,Hepatocyte,NA
bfmmhmfc-1,bfmmhmfc-1,Hepatocyte,NA
bfmngiod-1,bfmngiod-1,Hepatocyte,NA
bfmnjlii-1,bfmnjlii-1,Hepatocyte,NA
bfmpbpdc-1,bfmpbpdc-1,Hepatocyte,NA
bfmpiben-1,bfmpiben-1,Hepatocyte,NA
bfncdggc-1,bfncdggc-1,Myeloid,NA
bfnfcppn-1,bfnfcppn-1,Hepatocyte,NA
bfnflklg-1,bfnflklg-1,Hepatocyte,NA
bfngfjbm-1,bfngfjbm-1,Hepatocyte,NA
bfngkojj-1,bfngkojj-1,Hepatocyte,NA
bfngmmao-1,bfngmmao-1,Hepatocyte,NA
bfnhchel-1,bfnhchel-1,Hepatocyte,NA
bfnhegei-1,bfnhegei-1,Hepatocyte,NA
bfnhfing-1,bfnhfing-1,Hepatocyte,NA
bfnhfkbc-1,bfnhfkbc-1,Hepatocyte,NA
bfniblhn-1,bfniblhn-1,Hepatocyte,NA
bfnicfda-1,bfnicfda-1,Hepatocyte,NA
bfnigacl-1,bfnigacl-1,Hepatocyte,NA
bfnindfp-1,bfnindfp-1,Hepatocyte,NA
bfnjklpc-1,bfnjklpc-1,Hepatocyte,NA
bfnjpgfk-1,bfnjpgfk-1,Hepatocyte,NA
bfnkafgf-1,bfnkafgf-1,Hepatocyte,NA
bfnkafmb-1,bfnkafmb-1,Hepatocyte,NA
bfnljggn-1,bfnljggn-1,Hepatocyte,NA
bfnljncd-1,bfnljncd-1,Hepatocyte,NA
bfnmepma-1,bfnmepma-1,Hepatocyte,NA
bfnmjnhn-1,bfnmjnhn-1,Hepatocyte,NA
bfnmoaha-1,bfnmoaha-1,Hepatocyte,NA
bfnnahmo-1,bfnnahmo-1,Hepatocyte,NA
bfoapbge-1,bfoapbge-1,Hepatocyte,NA
bfobkbbm-1,bfobkbbm-1,Hepatocyte,NA
bfocfckg-1,bfocfckg-1,Myeloid,NA
bfochmof-1,bfochmof-1,Hepatocyte,NA
bfocjghb-1,bfocjghb-1,Hepatocyte,NA
bfoegmaj-1,bfoegmaj-1,Hepatocyte,NA
bfoejhbn-1,bfoejhbn-1,Hepatocyte,NA
bfoekjjo-1,bfoekjjo-1,Hepatocyte,NA
bfoemdng-1,bfoemdng-1,Hepatocyte,NA
bfojalnf-1,bfojalnf-1,Hepatocyte,NA
bfojhkec-1,bfojhkec-1,Hepatocyte,NA
bfomcoon-1,bfomcoon-1,Hepatocyte,NA
bfooajdj-1,bfooajdj-1,Lymphocyte,NA
bfoogafn-1,bfoogafn-1,Hepatocyte,NA
bfpailoh-1,bfpailoh-1,Hepatocyte,NA
bfpbijgb-1,bfpbijgb-1,Hepatocyte,NA
bfpblkjg-1,bfpblkjg-1,Hepatocyte,NA
bfpcjamm-1,bfpcjamm-1,Hepatocyte,NA
bfpcmled-1,bfpcmled-1,Hepatocyte,NA
bfpepgji-1,bfpepgji-1,Hepatocyte,NA
bfphkpfc-1,bfphkpfc-1,Hepatocyte,NA
bfpjfmel-1,bfpjfmel-1,Hepatocyte,NA
bfpkjlae-1,bfpkjlae-1,Hepatocyte,NA
bfpkohjo-1,bfpkohjo-1,Hepatocyte,NA
bfpngpin-1,bfpngpin-1,Hepatocyte,NA
bfpofhno-1,bfpofhno-1,Hepatocyte,NA
bfppdeni-1,bfppdeni-1,Hepatocyte,NA
bgaaaogl-1,bgaaaogl-1,Hepatocyte,NA
bgacffdd-1,bgacffdd-1,Hepatocyte,NA
bgadgdop-1,bgadgdop-1,Hepatocyte,NA
bgaehmfm-1,bgaehmfm-1,Hepatocyte,NA
bgafbpee-1,bgafbpee-1,Hepatocyte,NA
bgagcpfh-1,bgagcpfh-1,Myeloid,NA
bgagfkda-1,bgagfkda-1,Hepatocyte,NA
bgaghgnb-1,bgaghgnb-1,Hepatocyte,NA
bgaienjc-1,bgaienjc-1,Myeloid,NA
bgajagbp-1,bgajagbp-1,Hepatocyte,NA
bgakdcob-1,bgakdcob-1,Hepatocyte,NA
bgamgcbe-1,bgamgcbe-1,Hepatocyte,NA
bgangafd-1,bgangafd-1,Hepatocyte,NA
bgaoiflg-1,bgaoiflg-1,Hepatocyte,NA
bgbaimij-1,bgbaimij-1,Hepatocyte,NA
bgbajkkc-1,bgbajkkc-1,Myeloid,NA
bgbamgop-1,bgbamgop-1,Hepatocyte,NA
bgbbhlik-1,bgbbhlik-1,Hepatocyte,NA
bgbcbpbp-1,bgbcbpbp-1,Hepatocyte,NA
bgbehbmh-1,bgbehbmh-1,Hepatocyte,NA
bgbehhle-1,bgbehhle-1,Hepatocyte,NA
bgbgpgmj-1,bgbgpgmj-1,Hepatocyte,NA
bgbidmkp-1,bgbidmkp-1,Hepatocyte,NA
bgbjcice-1,bgbjcice-1,Hepatocyte,NA
bgbjcpko-1,bgbjcpko-1,Hepatocyte,NA
bgbjlkjg-1,bgbjlkjg-1,Lymphocyte,NA
bgbkfioe-1,bgbkfioe-1,Hepatocyte,NA
bgbkoioj-1,bgbkoioj-1,Fibroblast,NA
bgbldink-1,bgbldink-1,Hepatocyte,NA
bgbmdedk-1,bgbmdedk-1,Lymphocyte,NA
bgbmoign-1,bgbmoign-1,Lymphocyte,NA
bgbodmgc-1,bgbodmgc-1,Hepatocyte,NA
bgbohaje-1,bgbohaje-1,Hepatocyte,NA
bgcbicnc-1,bgcbicnc-1,Myeloid,NA
bgccgaon-1,bgccgaon-1,Myeloid,NA
bgccncjm-1,bgccncjm-1,Hepatocyte,NA
bgcfglao-1,bgcfglao-1,Endothelial-Mural Cell,NA
bgcgcdan-1,bgcgcdan-1,Hepatocyte,NA
bgcgkdph-1,bgcgkdph-1,Hepatocyte,NA
bgchkmhi-1,bgchkmhi-1,Hepatocyte,NA
bgcifddn-1,bgcifddn-1,Hepatocyte,NA
bgckbepa-1,bgckbepa-1,Hepatocyte,NA
bgclegnn-1,bgclegnn-1,Hepatocyte,NA
bgcnhbfb-1,bgcnhbfb-1,Hepatocyte,NA
bgcnmdng-1,bgcnmdng-1,Hepatocyte,NA
bgcolijd-1,bgcolijd-1,Hepatocyte,NA
bgdbgobi-1,bgdbgobi-1,Myeloid,NA
bgdcmeoi-1,bgdcmeoi-1,Hepatocyte,NA
bgdfndde-1,bgdfndde-1,Hepatocyte,NA
bgdgifhn-1,bgdgifhn-1,Smooth muscle,NA
bgdgpegc-1,bgdgpegc-1,Hepatocyte,NA
bgdiabbh-1,bgdiabbh-1,Hepatocyte,NA
bgdjealk-1,bgdjealk-1,Hepatocyte,NA
bgdjiamf-1,bgdjiamf-1,Hepatocyte,NA
bgdnbnmp-1,bgdnbnmp-1,Hepatocyte,NA
bgdoghbj-1,bgdoghbj-1,Hepatocyte,NA
bgdoihkb-1,bgdoihkb-1,Hepatocyte,NA
bgdojbjm-1,bgdojbjm-1,Hepatocyte,NA
bgdpfmam-1,bgdpfmam-1,Hepatocyte,NA
bgdpkbea-1,bgdpkbea-1,Hepatocyte,NA
bgecgkam-1,bgecgkam-1,Hepatocyte,NA
bgeemgbh-1,bgeemgbh-1,Hepatocyte,NA
bgefmbbf-1,bgefmbbf-1,Hepatocyte,NA
bgefnodg-1,bgefnodg-1,Hepatocyte,NA
bgehnjbc-1,bgehnjbc-1,Endothelial-Mural Cell,NA
bgeiphnb-1,bgeiphnb-1,Hepatocyte,NA
bgeoaoel-1,bgeoaoel-1,Hepatocyte,NA
bgepjhki-1,bgepjhki-1,Hepatocyte,NA
bgfbkdbk-1,bgfbkdbk-1,Endothelial-Mural Cell,NA
bgfeokcg-1,bgfeokcg-1,Necrosis,NA
bgffhlal-1,bgffhlal-1,Myeloid,NA
bgfflbnc-1,bgfflbnc-1,Hepatocyte,NA
bgfhebck-1,bgfhebck-1,Hepatocyte,NA
bgfjabcc-1,bgfjabcc-1,Hepatocyte,NA
bgfkdggg-1,bgfkdggg-1,Hepatocyte,NA
bgfkmibc-1,bgfkmibc-1,Hepatocyte,NA
bgfkocnj-1,bgfkocnj-1,Hepatocyte,NA
bgflpeob-1,bgflpeob-1,Hepatocyte,NA
bgfmaabg-1,bgfmaabg-1,Hepatocyte,NA
bgfplgab-1,bgfplgab-1,Hepatocyte,NA
bggabkkm-1,bggabkkm-1,Hepatocyte,NA
bggalfei-1,bggalfei-1,Hepatocyte,NA
bggalhcb-1,bggalhcb-1,Hepatocyte,NA
bggapcdg-1,bggapcdg-1,Myeloid,NA
bggbhkkp-1,bggbhkkp-1,Hepatocyte,NA
bggbiimj-1,bggbiimj-1,Hepatocyte,NA
bggcjnmg-1,bggcjnmg-1,Hepatocyte,NA
bggeehom-1,bggeehom-1,Hepatocyte,NA
bggefemc-1,bggefemc-1,Hepatocyte,NA
bggfcdan-1,bggfcdan-1,Hepatocyte,NA
bggfhapm-1,bggfhapm-1,Hepatocyte,NA
bgghjoem-1,bgghjoem-1,Hepatocyte,NA
bggjdomd-1,bggjdomd-1,Hepatocyte,NA
bggjhafi-1,bggjhafi-1,Hepatocyte,NA
bggjpbnb-1,bggjpbnb-1,Hepatocyte,NA
bggkgkbp-1,bggkgkbp-1,Hepatocyte,NA
bggkkmmj-1,bggkkmmj-1,Hepatocyte,NA
bggklcdk-1,bggklcdk-1,Hepatocyte,NA
bggldldl-1,bggldldl-1,Hepatocyte,NA
bgglkcef-1,bgglkcef-1,Hepatocyte,NA
bggmhdki-1,bggmhdki-1,Hepatocyte,NA
bggnjbba-1,bggnjbba-1,Hepatocyte,NA
bggobgdd-1,bggobgdd-1,Hepatocyte,NA
bggokndf-1,bggokndf-1,Myeloid,NA
bggolddp-1,bggolddp-1,Hepatocyte,NA
