#Selection name: Selection 1
#Area (µm^2): 1396929.89
Cell ID,Cluster,Transcripts,Area (µm^2)
fanmhikm-1,Cluster 5,0,34.61
copnlgjo-1,Cluster 2,0,141.24
copomkai-1,Cluster 5,0,68.69
fammigca-1,Cluster 5,0,122.78
copnnejc-1,Cluster 4,0,48.08
famnnoeo-1,Cluster 2,0,50.72
faodjino-1,Cluster 5,0,54.39
famnipdb-1,Cluster 4,0,74.39
cpacekpo-1,Cluster 5,0,83.35
coonpleh-1,Cluster 10,0,92.59
cooojggf-1,Cluster 2,0,93.75
famljpof-1,Cluster 5,0,85.87
coonepeg-1,Cluster 8,0,119.04
famnhfji-1,Cluster 2,0,117.09
famlkahl-1,Cluster 4,0,196.97
famelfje-1,Cluster 7,0,21.86
copbaldn-1,Cluster 2,0,80.96
famecfjd-1,Cluster 7,0,33.13
coongmad-1,Cluster 4,0,59.35
copibfmp-1,Cluster 4,0,61.49
cooooipb-1,Cluster 2,0,67.60
famocjji-1,Cluster 4,0,102.45
copiheek-1,Cluster 5,0,25.87
famicjei-1,Cluster 5,0,125.48
fapgbhdp-1,Cluster 6,0,94.66
cpapafhn-1,Cluster 6,0,71.60
fapgaccj-1,Cluster 6,0,76.71
cpanchmm-1,Cluster 6,0,28.46
fapgbige-1,Cluster 10,0,74.14
cpaknafd-1,Cluster 6,0,84.13
cpapaica-1,Cluster 6,0,88.58
cpandmbe-1,Cluster 6,0,89.43
fapfkblk-1,Cluster 4,0,114.53
cooojada-1,Cluster 8,0,99.21
coonhejh-1,Cluster 2,0,67.97
cooionfa-1,Cluster 4,0,193.71
coojacdl-1,Cluster 2,0,211.16
fapilpfp-1,Cluster 4,0,84.81
fapeghil-1,Cluster 5,0,27.20
fapfibef-1,Cluster 5,0,84.43
faollcec-1,Cluster 5,0,84.38
faokboch-1,Cluster 5,0,66.68
fapgiafi-1,Cluster 10,0,92.12
copbdpho-1,Cluster 2,0,267.31
coopjejd-1,Cluster 17,0,271.40
famfbanj-1,Cluster 11,0,4.84
famhfbfj-1,Cluster 7,0,27.91
copbhdgp-1,Cluster 17,0,110.62
famlkcog-1,Cluster 5,0,79.83
cooonmgf-1,Cluster 6,0,66.57
coohlbia-1,Cluster 2,0,105.30
cookoien-1,Cluster 5,0,233.17
fapilglo-1,Cluster 9,0,18.48
fapigmik-1,Cluster 5,0,57.70
fapifhcj-1,Cluster 9,0,11.70
fapenijb-1,Cluster 5,0,100.71
cpbmdjnl-1,Cluster 4,0,57.59
copblijn-1,Cluster 4,0,58.75
famhpdcl-1,Cluster 4,0,25.62
cookcnnc-1,Cluster 4,0,136.67
cookgcfn-1,Cluster 2,0,84.40
fahdgnbk-1,Cluster 7,0,33.36
fahemcmd-1,Cluster 4,0,182.20
cooihgjp-1,Cluster 2,0,111.31
coogmcdf-1,Cluster 5,0,119.11
copboggd-1,Cluster 17,0,128.17
famhekek-1,Cluster 7,0,14.33
fapgccko-1,Cluster 5,0,52.71
falbgoih-1,Cluster 4,0,130.62
fahpgmoa-1,Cluster 4,0,39.50
cpbbjogf-1,Cluster 2,0,92.31
cpapeldh-1,Cluster 4,0,48.82
cpapmjlc-1,Cluster 4,0,51.98
fahipmdl-1,Cluster 5,0,38.75
faiajajn-1,Cluster 5,0,46.12
faiajjbi-1,Cluster 4,0,106.54
faianogf-1,Cluster 4,0,32.21
faiakijc-1,Cluster 4,0,44.88
faiaefkd-1,Cluster 4,0,114.25
