#Selection name: Selection 1
#Area (µm^2): 12614311.61
Cell ID,Cluster,Transcripts,Area (µm^2)
ocnoojgp-1,Cluster 1,0,40.76
kglcncph-1,Cluster 1,0,55.77
kcbgjihd-1,Cluster 2,0,81.45
kglabjmc-1,Cluster 1,0,108.82
kcbfhmcc-1,Cluster 2,0,33.44
kgkplnbk-1,Cluster 2,0,79.54
kglceiff-1,Cluster 1,0,37.86
ocnnapjh-1,Cluster 2,0,116.58
ocnnognk-1,Cluster 2,0,41.88
kcbfmpel-1,Cluster 2,0,52.98
ocnpecbk-1,Cluster 1,0,97.29
kcchmaoc-1,Cluster 2,0,18.87
ocnnojle-1,Cluster 2,0,25.95
kgknedkg-1,Cluster 1,0,33.69
kccbkdpa-1,Cluster 2,0,44.47
odhkbcip-1,Cluster 1,0,15.38
kgldboec-1,Cluster 1,0,16.87
ocnolhpf-1,Cluster 2,0,160.81
odhkjmif-1,Cluster 1,0,37.13
kcbfadkn-1,Cluster 2,0,122.05
kbpanifk-1,Cluster 2,0,139.70
kbpcijgg-1,Cluster 2,0,89.32
kbkibneo-1,Cluster 2,0,109.90
kblakfhd-1,Cluster 2,0,31.28
kbpanadg-1,Cluster 2,0,88.18
kcbgeaop-1,Cluster 2,0,37.21
kccggham-1,Cluster 2,0,26.80
kcbimbgp-1,Cluster 2,0,17.45
kcbgojnh-1,Cluster 2,0,69.15
kcbhffmi-1,Cluster 1,0,21.84
kcbdjagg-1,Cluster 2,0,79.74
kcbjlhjl-1,Cluster 2,0,89.04
kcbfglla-1,Cluster 2,0,76.23
kccbigok-1,Cluster 1,0,51.15
kgkepipo-1,Cluster 1,0,4.38
kgkcdaoe-1,Cluster 1,0,55.90
kcbmehfi-1,Cluster 1,0,12.27
odhfiolk-1,Cluster 1,0,11.58
kcbmeahk-1,Cluster 1,0,27.04
odhhfmpl-1,Cluster 1,0,66.10
kgkncdna-1,Cluster 1,0,39.27
ocoabkjp-1,Cluster 2,0,80.95
odhfomdj-1,Cluster 1,0,23.82
ocnpnbfe-1,Cluster 1,0,70.71
kghcoajc-1,Cluster 13,0,142.90
kghafogd-1,Cluster 1,0,52.56
kcccdfbh-1,Cluster 2,0,18.35
kghchaag-1,Cluster 2,0,99.73
ocoajedk-1,Cluster 1,0,85.39
odhiblmd-1,Cluster 2,0,107.68
odhicpek-1,Cluster 2,0,97.90
kgkehjhi-1,Cluster 1,0,7.83
kcbmcncf-1,Cluster 2,0,89.41
kcajkkcp-1,Cluster 2,0,74.52
kcaelble-1,Cluster 2,0,83.94
kcakfacb-1,Cluster 2,0,65.98
kcaekbha-1,Cluster 2,0,73.41
kcaibchc-1,Cluster 1,0,19.11
kccbebgd-1,Cluster 2,0,31.31
kcchpmei-1,Cluster 2,0,59.35
kcbkbnbm-1,Cluster 1,0,20.76
kcbpkicg-1,Cluster 1,0,95.03
kkdchnel-1,Cluster 1,0,336.40
oecjaehg-1,Cluster 1,0,18.45
kcakpolp-1,Cluster 1,0,227.45
kcajkcol-1,Unassigned,0,73.31
ambiaepl-1,Cluster 2,0,31.94
kcaphchl-1,Cluster 2,0,69.51
kccefikj-1,Cluster 1,0,15.66
kcbnlbmd-1,Cluster 1,0,31.18
ocnhlgak-1,Cluster 2,0,9.88
kblcllho-1,Cluster 2,0,137.56
kbkkbimb-1,Cluster 2,0,71.34
kbkjoima-1,Cluster 2,0,82.08
kbkokloo-1,Cluster 2,0,92.87
kbmkpmii-1,Cluster 2,0,55.83
kbmkdloe-1,Cluster 2,0,53.54
kbmmdgij-1,Cluster 2,0,18.67
kbkmejpd-1,Cluster 1,0,32.03
kbmihkji-1,Cluster 2,0,33.93
kbmmcleb-1,Cluster 2,0,26.37
kbpamccn-1,Cluster 1,0,33.81
ocngnhdi-1,Cluster 1,0,5.98
kbjiclfi-1,Cluster 1,0,39.13
kbjihieo-1,Cluster 1,0,10.34
ocminkog-1,Cluster 1,0,15.69
kbjibegn-1,Cluster 1,0,27.14
kbjibegb-1,Cluster 1,0,28.02
ocnbnggm-1,Cluster 2,0,38.06
oecnijfh-1,Cluster 1,0,130.80
ocnliemc-1,Cluster 1,0,96.08
kcbboiik-1,Cluster 1,0,34.57
kcbldbfa-1,Cluster 2,0,119.53
kcblmpgj-1,Cluster 1,0,9.90
kcblfgcj-1,Cluster 2,0,53.63
kcbkkhnb-1,Cluster 2,0,18.00
kcbknoen-1,Cluster 2,0,50.58
kcbknhlm-1,Cluster 2,0,33.73
kbmiminj-1,Cluster 2,0,40.09
kbmhjoeo-1,Cluster 2,0,37.40
ocmgcpjb-1,Cluster 1,0,60.17
kcaklccp-1,Cluster 1,0,68.16
ocmfebkj-1,Cluster 1,0,55.91
kcabnfco-1,Cluster 1,0,57.76
kbilibpk-1,Cluster 1,0,50.41
kbikhjcm-1,Unassigned,0,7.44
kbimejfg-1,Cluster 2,0,108.60
ocnmadgd-1,Cluster 1,0,29.71
kcadocnd-1,Cluster 13,0,163.52
kbjinlkk-1,Cluster 2,0,58.96
ocmlpmmf-1,Cluster 1,0,36.78
kbjlcndo-1,Cluster 1,0,37.79
kbjknfna-1,Cluster 2,0,33.08
kbjdoach-1,Cluster 2,0,151.00
kbjcnnld-1,Cluster 2,0,108.02
kbjjimcb-1,Cluster 1,0,8.57
ocmilleb-1,Cluster 2,0,127.64
kbjciihd-1,Cluster 1,0,31.12
kcaakjag-1,Cluster 1,0,47.97
kbimlded-1,Unassigned,0,34.58
kkdjfncm-1,Cluster 1,0,145.69
kgheijhe-1,Unassigned,0,17.46
kbilmafm-1,Cluster 2,0,223.88
kkdjpdok-1,Cluster 1,0,49.13
kbikidci-1,Cluster 2,0,112.65
kcacohij-1,Cluster 1,0,29.23
klejbmla-1,Cluster 2,0,53.84
hghncjpa-1,Cluster 2,0,146.47
hghbelhc-1,Cluster 2,0,83.54
hggdldib-1,Cluster 1,0,17.26
hgfkbidi-1,Cluster 2,0,35.86
hgfflboh-1,Cluster 2,0,22.62
efncafdp-1,Cluster 2,0,41.69
hgfgeaoi-1,Cluster 2,0,67.47
hgfgabmj-1,Cluster 2,0,66.18
hgfkldek-1,Cluster 2,0,127.41
hgflemhg-1,Cluster 2,0,51.28
hgfmmkep-1,Cluster 2,0,60.47
efncbbfg-1,Unassigned,0,29.71
hgfliieb-1,Cluster 2,0,62.70
efncedkb-1,Cluster 1,0,24.88
hgelmcal-1,Cluster 2,0,14.11
efndmgkd-1,Cluster 2,0,36.44
hgemkheh-1,Cluster 2,0,36.00
hgeogonb-1,Cluster 2,0,30.22
hgembmhp-1,Cluster 2,0,97.08
efncmjhp-1,Cluster 2,0,55.23
hgepbake-1,Cluster 2,0,36.95
hgffconk-1,Cluster 2,0,13.78
hgfffhnf-1,Cluster 2,0,43.87
hgfiaclf-1,Cluster 2,0,127.73
hgfodenc-1,Cluster 2,0,107.22
hgfnkpfm-1,Cluster 2,0,47.71
hgfpdopf-1,Cluster 2,0,76.18
hgfnmhmm-1,Cluster 2,0,32.24
hgfnkkef-1,Cluster 13,0,41.40
hgfpencm-1,Cluster 2,0,16.70
hgfoecob-1,Cluster 2,0,51.33
hggaapck-1,Cluster 13,0,68.29
hgfpipkm-1,Cluster 13,0,35.04
hgfjcbnk-1,Cluster 2,0,76.90
hgegpemo-1,Cluster 2,0,29.24
hgfihmee-1,Cluster 2,0,61.36
hgfkbejh-1,Cluster 2,0,64.05
hgfibehi-1,Cluster 2,0,79.27
nlijhiao-1,Cluster 2,0,110.39
nlijijab-1,Cluster 2,0,113.34
hgfhlemd-1,Cluster 2,0,22.19
hggnmdfk-1,Cluster 2,0,20.42
hgcmboph-1,Cluster 2,0,33.15
hgfdfklm-1,Cluster 2,0,52.87
efndneip-1,Cluster 2,0,89.52
efncmfbo-1,Cluster 2,0,89.60
hgfbdpca-1,Cluster 2,0,83.16
nligadia-1,Cluster 2,0,133.94
nlikjhhh-1,Cluster 1,0,13.70
hgfdojkd-1,Cluster 2,0,25.11
nliilhge-1,Cluster 2,0,17.42
nlihoflo-1,Cluster 2,0,33.71
hgckolej-1,Cluster 1,0,6.41
hgcpemlb-1,Cluster 2,0,17.86
hgcdohip-1,Cluster 2,0,50.25
hgcdpfib-1,Cluster 2,0,22.54
hgcmpcoh-1,Cluster 2,0,32.56
hgcodfjl-1,Cluster 2,0,42.48
hgcmolnc-1,Cluster 2,0,55.78
hgcmhien-1,Cluster 2,0,35.88
efocchki-1,Cluster 2,0,63.21
hgehiajo-1,Cluster 2,0,83.01
hgejdgdg-1,Cluster 2,0,62.63
hgehiadm-1,Cluster 2,0,76.98
efoebdim-1,Cluster 2,0,67.22
hgeigakh-1,Cluster 2,0,122.53
efodimfn-1,Cluster 2,0,148.50
hggbhlon-1,Cluster 2,0,51.57
hggdgmga-1,Cluster 2,0,74.73
hgggllcc-1,Cluster 2,0,47.11
nliknhnc-1,Cluster 2,0,45.09
hghipngg-1,Cluster 2,0,114.61
hghiiabi-1,Cluster 2,0,49.64
hghamhjc-1,Cluster 2,0,53.46
hghllmch-1,Cluster 2,0,77.20
hghhhjnm-1,Cluster 2,0,78.56
hghlmdab-1,Cluster 2,0,28.93
hghcmefc-1,Cluster 2,0,45.02
kkccigcg-1,Cluster 2,0,76.51
kkbplnch-1,Cluster 1,0,20.81
oecacjhp-1,Cluster 2,0,31.18
kghoebaa-1,Cluster 2,0,130.27
kkbleokm-1,Cluster 2,0,51.11
kkbinfjl-1,Cluster 1,0,24.45
kkbimbnp-1,Cluster 2,0,9.55
kghpneko-1,Cluster 2,0,116.18
kghopdpl-1,Cluster 1,0,61.70
kkbiljnj-1,Cluster 1,0,27.50
kgibllnn-1,Cluster 2,0,37.71
kghoddon-1,Cluster 2,0,55.63
kkbomlmo-1,Cluster 1,0,29.75
afjbbkpm-1,Cluster 2,0,157.89
oebmhhlk-1,Cluster 13,0,195.64
afjbdded-1,Cluster 2,0,112.64
kkboagag-1,Cluster 1,0,24.65
kkbkfejg-1,Cluster 2,0,39.50
kkbpnphn-1,Cluster 2,0,82.13
kkbknbnm-1,Cluster 2,0,29.28
kkcaebob-1,Cluster 2,0,51.89
kgifekga-1,Cluster 1,0,38.06
odgfadlm-1,Cluster 1,0,59.13
kgiaejkp-1,Cluster 2,0,38.70
kgjbomim-1,Cluster 1,0,33.59
kgibjidg-1,Cluster 2,0,66.54
kgjaipge-1,Cluster 2,0,79.46
kghleanh-1,Cluster 2,0,28.57
kgjhbfoe-1,Cluster 1,0,55.77
kghnhmgd-1,Cluster 1,0,37.48
kginjlgm-1,Cluster 2,0,47.19
kkcanlja-1,Cluster 2,0,66.57
oecadain-1,Cluster 1,0,7.09
kgielohg-1,Cluster 2,0,69.17
kgipbkca-1,Cluster 2,0,231.85
kkcbhfbl-1,Cluster 1,0,52.88
oecbjmam-1,Cluster 1,0,258.57
kgjajdbc-1,Cluster 2,0,102.95
kgjbapbi-1,Cluster 1,0,19.94
hghegpmh-1,Cluster 2,0,68.53
hghbbfak-1,Cluster 2,0,27.39
hfnkhhoe-1,Cluster 2,0,15.33
hghdoohf-1,Cluster 2,0,29.23
hgelfnle-1,Cluster 2,0,39.48
efofpgfn-1,Cluster 2,0,59.51
efoeekbd-1,Cluster 2,0,32.05
efobnbee-1,Cluster 2,0,69.32
hgelajjo-1,Cluster 2,0,42.74
hghcglaa-1,Cluster 2,0,30.17
efoepdld-1,Cluster 2,0,69.05
hghokkji-1,Cluster 2,0,21.75
hghjflba-1,Cluster 2,0,26.07
hghkkohd-1,Cluster 2,0,60.05
hghmcbld-1,Cluster 2,0,52.19
hghgfghj-1,Cluster 2,0,89.32
hghjjeim-1,Cluster 1,0,23.12
hghmnnho-1,Cluster 2,0,62.15
hghjiodf-1,Cluster 2,0,119.88
hghdinkc-1,Cluster 2,0,27.82
nlhgonfc-1,Cluster 1,0,14.71
hgekpjbk-1,Cluster 15,0,74.53
nlihgbmg-1,Cluster 1,0,107.38
hgekpkbn-1,Cluster 2,0,128.35
kkejokgp-1,Cluster 1,0,16.48
kkccdnjp-1,Cluster 2,0,40.42
kkbjaack-1,Cluster 2,0,6.98
kkbjlpcj-1,Cluster 2,0,57.73
oebmdekh-1,Cluster 2,0,128.80
klehkaeb-1,Cluster 2,0,47.90
klegkbko-1,Cluster 2,0,88.31
klehpcbg-1,Cluster 1,0,26.20
klegpnjj-1,Cluster 1,0,14.35
klefihko-1,Cluster 2,0,54.50
oedpfkef-1,Cluster 2,0,107.44
hfnhaaed-1,Cluster 2,0,16.64
annfmhpo-1,Cluster 1,0,35.37
hgildeod-1,Cluster 13,0,59.36
hgcadned-1,Cluster 2,0,41.34
hgdchgie-1,Cluster 2,0,30.19
hgdejckb-1,Cluster 2,0,50.44
hgdejgeb-1,Cluster 2,0,16.81
hgddpmbj-1,Cluster 2,0,23.72
hgdbkcif-1,Cluster 2,0,72.37
nligceao-1,Cluster 1,0,12.59
hgdanloh-1,Cluster 2,0,33.74
hgckhmhe-1,Cluster 2,0,34.86
hgdefnoe-1,Cluster 2,0,79.23
hgchmana-1,Cluster 2,0,22.11
hgdcbgbp-1,Cluster 2,0,20.39
hgdfpchj-1,Cluster 2,0,16.81
hgdhdmho-1,Cluster 2,0,48.19
hgdjaidn-1,Cluster 2,0,35.45
hgdijifk-1,Cluster 2,0,66.36
hgebdgje-1,Cluster 2,0,92.75
hgdaidpd-1,Cluster 1,0,30.94
