#Selection names:,"Selection 1, Selection 2, Selection 4"
"#Areas (µm^2): 9480310.9, 8554519.1, 2573290.4"
Selection,X,Y
Selection 2,2390.6530875780927,287.05805625906
Selection 2,2708.3567647774557,200.11799706632468
Selection 2,2730.4285363850945,183.06106180189224
Selection 2,2844.098160164433,188.3031075587064
Selection 2,3336.1363745764825,281.5238841133211
Selection 2,4001.8437272042233,556.6420255050048
Selection 2,4179.2131330129605,660.0872256719816
Selection 2,4527.736144243872,1030.7144669981897
Selection 2,5134.255444626717,1880.8671757441755
Selection 2,5249.986182372358,2367.776949106215
Selection 2,5422.2920641064,2604.1721147215558
Selection 2,5550.519319600484,2941.3346552720645
Selection 2,5519.602610105961,3175.9770625538586
Selection 2,5432.159444354522,3394.909561809038
Selection 2,5303.007121962177,3478.68491845509
Selection 2,5115.088707664496,3461.1735643634415
Selection 2,5023.507084736625,3437.9982041754206
Selection 2,4902.599218209487,3405.4747995418124
Selection 2,4800.257606622891,3380.952412115972
Selection 2,4738.034685781945,3365.1288993825547
Selection 2,4693.712620884549,3295.375609404886
Selection 2,4699.0682713481665,3223.723497899206
Selection 2,4705.495051904509,3161.4194308391143
Selection 2,4681.4270833058845,3055.9942629249813
Selection 2,4617.207965473954,3017.709476732026
Selection 2,4578.160404821028,2947.258329269703
Selection 2,4535.266513380595,2900.485648554104
Selection 2,4467.379586443278,2867.670117531571
Selection 2,4359.049383883727,2786.4427521666953
Selection 2,4292.947673767616,2749.5861394307044
Selection 2,4236.794490118771,2720.909065584603
Selection 2,4166.132362486669,2686.113566814914
Selection 2,4100.955719268818,2639.649241732069
Selection 2,4039.982450202717,2591.594450753968
Selection 2,3975.6821861516405,2568.7599046863593
Selection 2,3881.1468408468645,2515.6740481212223
Selection 2,3825.626597707356,2484.724880139041
Selection 2,3761.1478119741587,2468.171051433312
Selection 2,3693.8451378146906,2440.110688852719
Selection 2,3599.423397216718,2393.2081741864868
Selection 2,3505.342470739159,2357.5200670061945
Selection 2,3399.397967022494,2290.4770607479923
Selection 2,3350.7426940227137,2234.8594421455086
Selection 2,3302.866424726733,2159.8641064110247
Selection 2,3290.2887607591447,2097.9495412028327
Selection 2,3286.7832440920497,2009.6137670407911
Selection 2,3317.6512658550855,1938.075260241915
Selection 2,3325.798346257317,1865.9687299090192
Selection 2,3283.699687764512,1778.4281886946058
Selection 2,3283.2614981811253,1778.4281886946058
Selection 2,3228.4228832824406,1741.2145325943738
Selection 2,3171.1661110532136,1706.4514923123431
Selection 2,3092.405590750367,1665.8621534956487
Selection 2,3033.2986847246175,1647.5880249440304
