#Selection names:,"Selection 1, Selection 2, Selection 3"
"#Areas (µm^2): 13809816.7, 9202741.8, 2395626.8"
Selection,X,Y
Selection 1,3931.7572518428437,1527.9990373665123
Selection 1,3772.204928853695,1529.630028174287
Selection 1,3629.842731203632,1528.931032113812
Selection 1,3440.4665763008843,1522.4070688827128
Selection 1,3439.5345815535848,1522.4070688827128
Selection 1,3321.119471160534,1514.9252221613328
Selection 1,3201.202813674611,1521.397407906471
Selection 1,3031.3208822362203,1544.7490540749304
Selection 1,2898.459853260021,1577.7830901181162
Selection 1,2802.076063143422,1603.7753880705918
Selection 1,2704.2166146769305,1637.9226400619414
Selection 1,2590.0213693897094,1618.1177516818184
Selection 1,2458.1958901327325,1589.536579431287
Selection 1,2337.6579028152764,1590.4944629215681
Selection 1,2170.2354019600384,1588.5528071980264
Selection 1,2034.2936125691535,1614.0532190338713
Selection 1,1932.291965225773,1633.081445124578
Selection 1,1746.4107906254005,1663.267719439903
Selection 1,1656.0849663662505,1730.2936750165557
Selection 1,1561.0215021416586,1812.5163227227927
Selection 1,1389.2238037227073,1979.938823578031
Selection 1,1368.512809338265,2095.4285060142784
Selection 1,1368.7199192821095,2280.4294633533123
Selection 1,1382.5445080337247,2403.090327595174
Selection 1,1367.6325920769261,2520.80644192775
Selection 1,1325.6410509624689,2709.5094895130023
Selection 1,1245.6966126385198,2853.9686753444894
Selection 1,1219.6266484571029,2974.1701090031984
Selection 1,1211.2645844743838,3105.6072571154673
Selection 1,1167.667941295132,3313.519751992291
Selection 1,1089.561603722803,3472.709632579713
Selection 1,1022.0437620295204,3579.6301410893975
Selection 1,915.5633621505046,3714.2516045882744
Selection 1,847.3983018827081,3819.851787205951
Selection 1,744.2834385911641,4020.0494366745697
Selection 1,706.7965387553232,4212.635795706906
Selection 1,585.4560004054698,4410.141015905547
Selection 1,476.4126149713796,4464.300266220865
Selection 1,238.85750938182292,4416.79442285155
Selection 1,70.06290514861527,4357.586867655024
Selection 1,-76.51915760727711,4268.270704372115
Selection 1,-140.90446139991326,4025.045964069817
Selection 1,-153.22750305865648,3790.9081725536935
Selection 1,-118.79547489452054,3379.4324916207793
Selection 1,-71.57440769799148,2899.455196761322
Selection 1,0.8105176756355831,2349.448852139468
Selection 1,29.547022384049615,2115.000395707577
Selection 1,31.74756553739644,1866.0283544635963
Selection 1,119.2515168116668,1331.4517006581516
Selection 1,164.7121494855181,1042.5333289951775
Selection 1,175.6630877662921,903.6143341615283
Selection 1,192.18010578788508,745.7188907231342
Selection 1,224.0750371399269,528.0204509996614
Selection 1,223.55726228031577,417.00952109904904
Selection 2,6573.418696835517,264.1623825418627
Selection 2,6782.21140897368,246.35092737124185
Selection 2,6833.574675047097,232.6298935915486
Selection 2,7019.48173839045,197.05876073626857
Selection 2,7212.741204740281,176.89142995441748
Selection 2,7796.610025180698,130.18813761749956
Selection 2,8615.419188169639,83.43306779462038
Selection 2,9293.730143003115,95.70433196740234
Selection 2,10563.236432540505,168.34814477083498
Selection 2,10964.848502397828,306.17981239930054
Selection 2,11064.287164186133,425.83758245541793
Selection 2,11095.638431935582,544.9775776519238
Selection 2,11183.375381896678,692.3363026972334
Selection 2,11281.441940307013,885.8546564768687
Selection 2,11352.998425905264,1299.3755481052463
Selection 2,11342.59115122708,1622.1046181008235
Selection 2,11237.7935196418,2078.5749343339385
Selection 2,11073.1152255425,2907.299485884429
Selection 2,10885.473616419453,3458.470823940409
Selection 2,10819.638543019904,3545.845331499776
Selection 2,10669.328501274811,3699.6244648042616
Selection 2,10390.998625490884,3696.3883719316923
Selection 2,10278.486148497399,3674.5900503420676
Selection 2,10278.796813413166,3674.5900503420676
Selection 2,10230.669640212318,3554.0002855386506
Selection 2,10178.659155564386,3426.394671387503
Selection 2,10183.50035050175,3191.5837725538845
Selection 2,10205.03978466157,3083.8607130118025
Selection 2,10243.122125585964,2927.544482895222
Selection 2,10138.635158916451,2819.329537236509
Selection 2,10121.082591175636,2692.7594728045847
Selection 2,10070.651319849518,2600.880323966601
Selection 2,10030.782655659465,2497.5583507312126
Selection 2,9985.736242873303,2350.7432892884954
Selection 2,9922.02404639816,2264.973883793922
Selection 2,9829.26468029884,2231.8880702647753
Selection 2,9685.763377957632,2173.4830661006467
Selection 2,9618.29731375031,2073.733739396575
Selection 2,9503.972624748187,2041.3728106708834
Selection 2,9299.037335314128,1975.2788498415312
Selection 2,9392.23681004412,2049.3465435088942
Selection 2,9246.379632091683,2069.6692067486283
Selection 2,9245.86185723207,2070.8859776687145
Selection 2,9147.9765200226,2097.0077193360926
Selection 2,9023.47755502912,2190.388415266948
Selection 2,8765.392676255982,2190.9838563555013
Selection 2,8682.781697405037,2125.588891586623
Selection 2,8581.945043495782,2026.6938934009097
Selection 2,8579.796277828396,1921.274931984097
Selection 2,8582.022709724724,1807.6233502994685
Selection 2,8542.594154165341,1704.2495995781192
Selection 2,8423.583602683737,1653.1452209345068
Selection 2,8277.26042735765,1534.8854429993396
Selection 2,8156.4117751244285,1478.1114296429862
Selection 2,8046.462283686018,1455.277558334138
Selection 2,7934.18280537936,1462.3969626537903
Selection 2,7817.26924207918,1471.173246524198
Selection 2,7701.365339755243,1511.378464372997
Selection 2,7546.084659357884,1537.4225398114336
Selection 2,7436.885941465911,1562.6122867315116
Selection 2,7285.048463884966,1600.176852796295
Selection 2,7167.487682010273,1623.7356089085984
Selection 2,7050.444674995192,1591.5041238978092
Selection 2,7003.922603859139,1497.1655444766736
Selection 2,6927.214258407759,1178.1385647273155
Selection 2,6831.633019323556,981.927781677702
Selection 2,6770.173143487722,790.169862420744
Selection 2,6699.833428809558,623.1098039672337
Selection 2,6636.380119764224,490.11933127613156
Selection 2,6575.4380187880015,381.67138693059377
Selection 2,6573.418696835517,264.1623825418627
Selection 3,10234.52706291642,4055.62056952985
Selection 3,10388.642749879653,3996.3612368473637
Selection 3,10468.250634544855,3955.0945805363617
Selection 3,10601.707104609606,3902.5663210288185
Selection 3,10834.084461603052,3860.6783348862837
Selection 3,11299.408727935517,3872.846044087143
Selection 3,11501.884586786426,3950.926492916492
Selection 3,11570.127313283163,4101.107090946682
Selection 3,11584.547343123331,4345.988710799736
Selection 3,11596.973939753998,4657.999841201363
Selection 3,11545.507118708656,4930.401194842744
Selection 3,11537.792273300453,5078.769580864296
Selection 3,11537.041499754016,5222.374438177424
Selection 3,11544.626901447318,5342.291095663347
Selection 3,11598.061266959181,5582.693962980765
